Profile,Rawfilename,Project,Depth [m],Sampled volume [L],Total flux [mg m-2 d-1],slope,time
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,2.5,196.56,2.0423803836218712,-3.9231088904325326,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,7.5,234.36,1.9625941679277188,-3.6252256447535545,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,12.5,210.6,3.8850009778665555,-3.1065727768266616,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,17.5,184.68,5.064933553635458,-2.5791422703942555,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,22.5,150.12,2.6555895380177286,-2.7488258637331424,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,27.5,168.48,2.720473576727637,-2.8057461065678844,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,32.5,194.4,0.653265107114452,-3.5151010346278486,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,37.5,182.52,0.9469898558885611,-3.3715143409060664,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,42.5,183.6,2.198262174478036,-2.919606888311116,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,47.5,172.8,2.129316356830476,-2.8543823035981553,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,52.5,177.12,1.6385748209984374,-3.0246342698725797,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,57.5,176.04,3.0204129694919426,-2.8132771528210756,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,62.5,193.32,2.1836399082856355,-2.6406636991669306,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,67.5,162.0,2.2090924983654423,-2.973790834367652,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,72.5,176.04,3.193002100352675,-2.672808814848923,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,77.5,168.48,0.5198673640956379,-3.4944950621468744,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,82.5,179.28,0.3065553813859342,-3.1196043029462097,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,87.5,164.16,4.037125621238687,-2.6157182654726774,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,92.5,181.44,0.6190504585842206,-2.7699429559958997,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,97.5,177.12,2.246445000272508,-2.797127422344241,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,102.5,174.96,0.8013081043115577,-3.3778416096729034,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,107.5,185.76,0.8301166757675822,-2.8462509849618285,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,112.5,177.12,2.3015395858595102,-2.8474313836280243,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,117.5,195.48,1.4788467716243245,-2.941889268402169,2019-10-04 08:28:19
ps122_1_2_68,HDR20191004082819,uvp5_sn204_mosaic_primary_filtered,122.5,179.28,0.7545144705399935,-3.5335358199303633,2019-10-04 08:28:19
