Event Label	Date/Time	Lat	Lon	Bottle Nr.	Pressure [dbar]	in-situ temperature ITS-90 [°C]	Quality flag	practical Salinity PSU78 [ ]	Quality flag	Oxygen [ml/l]	Quality flag	conservative Temp ITS-90 [°C]	Quality flag	potential Temp. ref. pres. 0 dbar [°C]	absolute Salinity [g/kg]	potential density anomaly ref. pres. 0 dbar [kg/m^3]	Quality flag	oxygen satuaration [ml/l]	oxygen saturation [%]	conductivity [mS/cm]	Quality flag	fluorescence chl-a uncalibrated [mg/m^3]	Quality flag	beam transmission uncalibrated [%]	Quality flag	PAR/Irradiance [unknown]	Quality flag	SPAR/Surface Irradiance [unknown]	Quality flag	fluorescence cdom uncalibrated [mg/m^3]	Quality flag	rhodamine [ppb]	Quality flag
PS122/2_16-94	2019-12-15T11:19:00	86.6191	117.9737	 1	 101	-1.0274	1	34.4229	1	7.2544	1	...-1.0265	1	-1.0300	34.5873	27.6902	1	8.30	87.37	27.7819	1	0.3661	0	92.2186	0	0.0267	0	NaN	0	NaN	0	NaN	0
PS122/2_16-94	2019-12-15T11:19:00	86.6191	117.9737	 2	 101	-1.0293	1	34.4235	1	7.2473	1	...-1.0284	1	-1.0319	34.5879	27.6907	1	8.30	87.29	27.7807	1	0.3717	0	92.2154	0	0.0277	0	NaN	0	NaN	0	NaN	0
PS122/2_16-54	2019-12-21T10:39:00	86.6881	112.3502	 1	 253	1.1488	1	34.8459	1	6.6833	1	...1.1373	1	1.1369	35.0124	27.9145	1	7.81	85.53	30.0284	1	0.3605	0	91.6704	0	0.0220	0	NaN	0	NaN	0	NaN	0
PS122/2_16-54	2019-12-21T10:39:00	86.6881	112.3502	 2	 177	1.1818	1	34.8411	1	6.6948	1	...1.1740	1	1.1735	35.0075	27.9081	1	7.81	85.74	30.0185	1	0.3611	0	91.5697	0	0.0230	0	NaN	0	NaN	0	NaN	0
PS122/2_16-54	2019-12-21T10:39:00	86.6881	112.3502	 3	 101	-1.0363	1	34.4161	1	7.3559	1	...-1.0354	1	-1.0389	34.5804	27.6850	1	8.31	88.57	27.7696	1	0.3779	0	91.3107	0	0.0298	0	NaN	0	NaN	0	NaN	0
PS122/2_16-54	2019-12-21T10:39:00	86.6881	112.3502	 4	  76	-1.6220	1	34.2393	1	7.6170	1	...-1.6196	1	-1.6235	34.4030	27.5618	1	8.45	90.15	27.1412	1	0.3929	0	91.1712	0	0.0300	0	NaN	0	NaN	0	NaN	0
PS122/2_16-54	2019-12-21T10:39:00	86.6881	112.3502	 5	  51	-1.7280	1	33.7212	1	8.0921	1	...-1.7242	1	-1.7289	33.8829	27.1445	1	8.50	95.15	26.6699	1	0.4222	0	91.1413	0	0.0340	0	NaN	0	NaN	0	NaN	0
PS122/2_16-54	2019-12-21T10:39:00	86.6881	112.3502	 6	  40	-1.7091	1	33.0113	1	8.4091	1	...-1.7041	1	-1.7097	33.1693	26.5673	1	8.54	98.45	26.1696	1	0.4241	0	91.0054	0	0.0321	0	NaN	0	NaN	0	NaN	0
PS122/2_16-54	2019-12-21T10:39:00	86.6881	112.3502	 7	  30	-1.7573	1	32.0290	1	8.7037	1	...-1.7511	1	-1.7577	32.1824	25.7708	1	8.61	101.07	25.4181	1	0.4247	0	90.7961	0	0.0361	0	NaN	0	NaN	0	NaN	0
PS122/2_16-54	2019-12-21T10:39:00	86.6881	112.3502	 8	  10	-1.7488	1	31.9004	1	8.7018	1	...-1.7421	1	-1.7489	32.0530	25.6661	1	8.62	100.99	25.3229	1	0.4216	0	90.9047	0	0.0362	0	NaN	0	NaN	0	NaN	0
PS122/2_16-54	2019-12-21T10:39:00	86.6881	112.3502	 9	   2	-1.7480	1	31.9017	1	8.7029	1	...-1.7412	1	-1.7480	32.0539	25.6667	1	8.62	101.00	25.3209	1	0.4216	0	90.9047	0	0.4611	0	NaN	0	NaN	0	NaN	0
