Alfred Wegener Institute, Germany
Contact: Sandra.Tippenhauer@awi.de
Instrument: SBE911plus
Ship: Polarstern
Cruise: PS122
Leg 3
Accuracy for salinity and conductivity = 0.004
Accuracy for temperature = 0.002
Quality control flagging scheme: https://www.seadatanet.org
Event Label	Date/Time	Lat	Lon	Sensor channel used temp/cond	Sensor channel used oxy	Altimeter [m]	Water depth [m]	Water depth Info
PS122/3_30-9	2020-03-02T10:57:17	88.1847	31.0085	 2	 2	NaN	4251.00	Waterdepth from GEBCO
PS122/3_30-38	2020-03-05T06:37:32	88.0889	30.7362	 2	 2	NaN	4090.00	Waterdepth from GEBCO
PS122/3_31-81	2020-03-15T11:33:42	87.0665	15.3559	 2	 2	NaN	4295.00	Waterdepth from GEBCO
PS122/3_33-69	2020-03-27T12:14:04	85.8241	13.3622	 2	 2	NaN	3293.00	Waterdepth from GEBCO
PS122/3_33-71	2020-03-27T15:13:41	85.8241	13.3624	 2	 2	NaN	3294.00	Waterdepth from GEBCO
PS122/3_33-80	2020-03-28T09:48:45	85.6079	13.2892	 2	 2	NaN	2801.00	Waterdepth from GEBCO
PS122/3_33-82	2020-03-28T12:40:47	85.5852	13.2478	 2	 2	NaN	2538.00	Waterdepth from GEBCO
PS122/3_34-67	2020-04-04T10:30:00	84.6634	12.8898	 2	 2	NaN	3302.00	Waterdepth from GEBCO
PS122/3_34-77	2020-04-05T13:59:52	84.5736	13.5161	 2	 2	NaN	3292.00	Waterdepth from GEBCO
PS122/3_35-25	2020-04-07T07:54:26	84.4997	14.5280	 2	 2	NaN	3151.00	Waterdepth from GEBCO
PS122/3_35-60	2020-04-09T07:39:23	84.4377	14.8400	 2	 2	NaN	3515.00	Waterdepth from GEBCO
PS122/3_35-62	2020-04-09T08:27:42	84.4355	14.8317	 2	 2	NaN	3514.00	Waterdepth from GEBCO
PS122/3_35-63	2020-04-09T08:56:22	84.4339	14.8257	 2	 2	NaN	3520.00	Waterdepth from GEBCO
PS122/3_35-77	2020-04-10T07:33:36	84.3890	14.6466	 2	 2	NaN	3624.00	Waterdepth from GEBCO
PS122/3_35-92	2020-04-11T08:01:31	84.3286	14.7431	 2	 2	NaN	3770.00	Waterdepth from GEBCO
PS122/3_36-17	2020-04-14T11:39:00	84.3380	14.5883	 2	 2	NaN	3753.00	Waterdepth from GEBCO
PS122/3_36-19	2020-04-14T13:06:59	84.3380	14.5869	 2	 2	NaN	3753.00	Waterdepth from GEBCO
PS122/3_36-59	2020-04-16T08:25:19	84.3144	13.1256	 2	 2	NaN	3574.00	Waterdepth from GEBCO
PS122/3_36-81	2020-04-17T07:35:20	84.4091	13.6528	 2	 2	NaN	3585.00	Waterdepth from GEBCO
PS122/3_36-83	2020-04-17T09:29:54	84.4099	13.6745	 2	 2	NaN	3577.00	Waterdepth from GEBCO
PS122/3_36-85	2020-04-17T10:28:53	84.4105	13.6794	 2	 2	NaN	3573.00	Waterdepth from GEBCO
PS122/3_36-115	2020-04-18T11:34:07	84.4685	13.8458	 2	 2	NaN	3038.00	Waterdepth from GEBCO
PS122/3_36-115	2020-04-18T11:34:07	84.4685	13.8458	 2	 2	NaN	3038.00	Waterdepth from GEBCO
PS122/3_37-14	2020-04-21T11:36:02	84.2887	15.2360	 2	 2	NaN	3826.00	Waterdepth from GEBCO
PS122/3_37-15	2020-04-21T13:56:05	84.2698	15.3099	 2	 2	NaN	3841.00	Waterdepth from GEBCO
PS122/3_37-45	2020-04-23T08:17:31	84.0741	16.0545	 2	 2	NaN	3913.00	Waterdepth from GEBCO
PS122/3_37-46	2020-04-23T10:31:02	84.0741	16.0545	 2	 2	NaN	3913.00	Waterdepth from GEBCO
PS122/3_37-88	2020-04-25T07:36:27	84.0164	15.6464	 1	 2	NaN	3908.00	Waterdepth from GEBCO
PS122/3_37-116	2020-04-26T11:27:56	83.9247	15.5064	 2	 2	NaN	3915.00	Waterdepth from GEBCO
PS122/3_38-5	2020-04-27T11:43:17	83.9299	15.6300	 2	 2	NaN	3917.00	Waterdepth from GEBCO
PS122/3_38-31	2020-04-28T07:30:40	84.0176	16.2865	 2	 2	NaN	3926.00	Waterdepth from GEBCO
PS122/3_38-54	2020-04-30T07:34:06	83.9385	17.4027	 2	 2	NaN	3970.00	Waterdepth from GEBCO
PS122/3_38-55	2020-04-30T10:09:15	83.9338	17.4549	 2	 2	NaN	3973.00	Waterdepth from GEBCO
PS122/3_99-NaN	2020-05-01T11:48:02	83.9172	17.6812	 2	 2	NaN	3983.00	Waterdepth from GEBCO
PS122/3_38-69	2020-05-01T12:14:31	83.9172	17.6812	 2	 2	NaN	3983.00	Waterdepth from GEBCO
PS122/3_39-16	2020-05-05T11:32:07	83.9194	18.1037	 2	 2	NaN	3999.00	Waterdepth from GEBCO
PS122/3_39-51	2020-05-07T07:28:37	83.9348	16.9545	 2	 2	NaN	3954.00	Waterdepth from GEBCO
PS122/3_39-52	2020-05-07T09:44:17	83.9331	16.7934	 2	 2	NaN	3948.00	Waterdepth from GEBCO
PS122/3_39-54	2020-05-07T10:36:29	83.9326	16.7574	 2	 2	NaN	3947.00	Waterdepth from GEBCO
PS122/3_39-69	2020-05-08T07:40:53	83.8524	15.2835	 2	 2	NaN	3917.00	Waterdepth from GEBCO
PS122/3_39-70	2020-05-08T11:10:43	83.8524	15.2835	 2	 2	NaN	3917.00	Waterdepth from GEBCO
PS122/3_39-82	2020-05-09T07:38:44	83.7879	14.1260	 2	 2	NaN	3931.00	Waterdepth from GEBCO
PS122/3_29-8	2020-02-25T10:27:16	88.5583	45.5560	 2	 2	NaN	4243.00	Waterdepth from GEBCO
PS122/3_29-74	2020-02-29T06:38:34	88.2874	32.1638	 2	 2	NaN	4255.00	Waterdepth from GEBCO
PS122/3_32-12	2020-03-17T12:24:49	86.7760	12.2808	 2	 2	NaN	4370.00	Waterdepth from GEBCO
PS122/3_32-75	2020-03-22T08:09:08	86.2267	15.6761	 2	 2	NaN	3424.00	Waterdepth from GEBCO
PS122/3_31-18	2020-03-10T07:40:29	87.7639	24.4363	 2	 2	NaN	4255.00	Waterdepth from GEBCO
PS122/3_34-38	2020-04-02T07:50:31	84.9737	15.1397	 2	 2	NaN	3016.00	Waterdepth from GEBCO
PS122/3_34-76	2020-04-05T11:30:26	84.5756	13.4034	 2	 2	NaN	3328.00	Waterdepth from GEBCO
PS122/3_32-77	2020-03-22T13:40:30	86.2236	15.7338	 2	 2	NaN	3409.00	Waterdepth from GEBCO
PS122/3_34-65	2020-04-04T09:08:18	84.6705	12.8827	 2	 2	NaN	3343.00	Waterdepth from GEBCO
PS122/3_34-17	2020-03-31T09:43:44	85.3088	13.9122	 2	 2	NaN	4312.00	Waterdepth from GEBCO
PS122/3_38-100	2020-05-02T07:32:20	83.9069	17.5563	 2	 2	NaN	3978.00	Waterdepth from GEBCO
