Event Label	Date/Time	Lat	Lon	Bottle Nr.	Pressure [dbar]	in-situ temperature ITS-90 [°C]	Quality flag	practical Salinity PSU78 [ ]	Quality flag	Oxygen [ml/l]	Quality flag	conservative Temp ITS-90 [°C]	Quality flag	potential Temp. ref. pres. 0 dbar [°C]	absolute Salinity [g/kg]	potential density anomaly ref. pres. 0 dbar [kg/m^3]	Quality flag	oxygen satuaration [ml/l]	oxygen saturation [%]	conductivity [mS/cm]	Quality flag	fluorescence chl-a uncalibrated [mg/m^3]	Quality flag	beam transmission uncalibrated [%]	Quality flag	PAR/Irradiance [unknown]	Quality flag	SPAR/Surface Irradiance [unknown]	Quality flag	fluorescence cdom uncalibrated [mg/m^3]	Quality flag	rhodamine [ppb]	Quality flag
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	 1	4212	-0.6468	1	34.9393	1	6.7311	1	...-0.9228	1	-0.9259	35.1084	28.1060	1	8.19	82.20	30.1349	1	-0.0505	0	98.3477	0	0.0000	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	 2	4212	-0.6467	1	34.9392	1	6.7229	1	...-0.9227	1	-0.9258	35.1083	28.1059	1	8.19	82.10	30.1349	1	-0.0505	0	98.3461	0	0.0000	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	 3	4212	-0.6468	1	34.9393	1	6.7274	1	...-0.9228	1	-0.9259	35.1084	28.1060	1	8.19	82.16	30.1349	1	-0.0505	0	98.3401	0	0.0000	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	 4	4212	-0.6468	1	34.9392	1	6.7262	1	...-0.9228	1	-0.9259	35.1083	28.1059	1	8.19	82.14	30.1348	1	-0.0505	0	98.3428	0	0.0000	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	 5	4212	-0.6468	1	34.9393	1	6.7287	1	...-0.9228	1	-0.9259	35.1084	28.1060	1	8.19	82.17	30.1349	1	-0.0505	0	98.3412	0	0.0000	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	 6	3568	-0.7090	1	34.9354	1	6.7540	1	...-0.9223	1	-0.9252	35.1044	28.1027	1	8.20	82.34	29.8529	1	-0.0505	0	98.3217	0	0.0000	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	 7	3054	-0.7334	1	34.9294	1	6.7788	1	...-0.9021	1	-0.9049	35.0983	28.0970	1	8.21	82.58	29.6390	1	-0.0505	0	98.3180	0	0.0000	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	 8	3054	-0.7333	1	34.9294	1	6.7741	1	...-0.9020	1	-0.9048	35.0983	28.0970	1	8.21	82.53	29.6391	1	-0.0505	0	98.3207	0	0.0000	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	 9	2543	-0.7258	1	34.9221	1	6.8005	1	...-0.8550	1	-0.8577	35.0909	28.0890	1	8.21	82.86	29.4445	1	-0.0505	0	98.3439	0	0.0000	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	10	2031	-0.6293	1	34.9190	1	6.8009	1	...-0.7248	1	-0.7272	35.0880	28.0809	1	8.19	83.08	29.3212	1	-0.0505	0	98.3472	0	0.0000	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	11	1522	-0.4390	1	34.9127	1	6.9195	1	...-0.5058	1	-0.5079	35.0812	28.0655	1	8.14	84.96	29.2687	1	-0.0505	0	98.3342	0	0.0097	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	12	1013	-0.0584	1	34.8991	1	7.0003	1	...-0.1013	1	-0.1029	35.0667	28.0335	1	8.06	86.82	29.3667	1	-0.0505	0	98.3499	0	0.0097	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	13	 760	0.2804	1	34.8921	1	6.9983	1	...0.2478	1	0.2466	35.0593	28.0084	1	7.99	87.57	29.5412	1	-0.0505	0	98.3342	0	0.0098	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	14	 506	0.9750	1	34.8982	1	6.9656	1	...0.9510	1	0.9506	35.0653	27.9695	1	7.85	88.77	30.0328	1	-0.0505	0	98.3369	0	0.0097	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	15	 304	1.2905	1	34.8763	1	6.9052	1	...1.2758	1	1.2756	35.0432	27.9294	1	7.78	88.71	30.1983	1	-0.0505	0	98.3185	0	0.0097	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	16	 253	1.1628	1	34.8404	1	6.8880	1	...1.1513	1	1.1508	35.0070	27.9093	1	7.81	88.18	30.0360	1	-0.0505	0	98.3120	0	0.0097	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	17	 202	1.0705	1	34.8153	1	6.9375	1	...1.0618	1	1.0611	34.9818	27.8952	1	7.83	88.58	29.9134	1	-0.0505	0	98.2840	0	0.0098	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	18	 101	-1.3797	1	34.2646	1	7.4808	1	...-1.3781	1	-1.3820	34.4285	27.5748	1	8.39	89.15	27.3721	1	-0.0437	0	98.2159	0	0.0097	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	19	  76	-1.4386	1	33.9094	1	7.2407	1	...-1.4356	1	-1.4402	34.0726	27.2893	1	8.43	85.93	27.0544	1	0.0105	0	98.1808	0	0.0096	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	20	  50	-1.6556	1	32.6199	1	7.7620	1	...-1.6502	1	-1.6564	32.7779	26.2498	1	8.55	90.76	25.9341	1	0.0448	0	98.0415	0	0.0097	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	21	  30	-1.5526	1	30.8796	1	8.4218	1	...-1.5444	1	-1.5530	31.0290	24.8349	1	8.63	97.58	24.7408	1	0.2678	0	97.6300	0	0.0095	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	22	  10	-1.4960	1	29.4254	1	8.7900	1	...-1.4859	1	-1.4961	29.5672	23.6537	1	8.70	100.98	23.7088	1	0.2622	0	97.2818	0	0.0096	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	23	   2	-1.5036	1	29.2588	1	8.7916	1	...-1.4933	1	-1.5037	29.3992	23.5182	1	8.72	100.86	23.5776	1	0.1700	0	97.1073	0	0.0095	0	NaN	0	NaN	0	NaN	0
PS122/5_59-138	2020-08-19T12:03:00	89.9957	147.8070	24	   2	-1.5050	1	29.2563	1	8.7959	1	...-1.4947	1	-1.5051	29.3967	23.5162	1	8.72	100.91	23.5747	1	0.1887	0	97.1295	0	0.0096	0	NaN	0	NaN	0	NaN	0
