Event Label	Date/Time	Lat	Lon	Bottle Nr.	Pressure [dbar]	in-situ temperature ITS-90 [°C]	Quality flag	practical Salinity PSU78 [ ]	Quality flag	Oxygen [ml/l]	Quality flag	conservative Temp ITS-90 [°C]	Quality flag	potential Temp. ref. pres. 0 dbar [°C]	absolute Salinity [g/kg]	potential density anomaly ref. pres. 0 dbar [kg/m^3]	Quality flag	oxygen satuaration [ml/l]	oxygen saturation [%]	conductivity [mS/cm]	Quality flag	fluorescence chl-a uncalibrated [mg/m^3]	Quality flag	beam transmission uncalibrated [%]	Quality flag	PAR/Irradiance [unknown]	Quality flag	SPAR/Surface Irradiance [unknown]	Quality flag	fluorescence cdom uncalibrated [mg/m^3]	Quality flag	rhodamine [ppb]	Quality flag
PS122/3_32-75	2020-03-22T08:09:00	86.2267	15.6761	 1	 344	1.1065	1	34.8880	1	5.2062	4	...1.0904	1	1.0901	35.0548	27.9517	1	7.82	66.57	30.0659	1	0.3518	0	86.4698	0	0.0184	0	NaN	0	NaN	0	NaN	0
PS122/3_32-75	2020-03-22T08:09:00	86.2267	15.6761	 2	 101	-1.3812	1	34.1955	1	5.5594	4	...-1.3794	1	-1.3834	34.3592	27.5189	1	8.40	66.21	27.3210	1	0.3910	0	86.2461	0	0.0243	0	NaN	0	NaN	0	NaN	0
PS122/3_32-75	2020-03-22T08:09:00	86.2267	15.6761	 3	  50	-1.8369	1	33.5136	1	6.7011	4	...-1.8329	1	-1.8377	33.6748	26.9790	1	8.54	78.45	26.4319	1	0.4154	0	86.1081	0	0.0280	0	NaN	0	NaN	0	NaN	0
PS122/3_32-75	2020-03-22T08:09:00	86.2267	15.6761	 4	  20	-1.8376	1	33.5123	1	6.7306	4	...-1.8331	1	-1.8379	33.6729	26.9775	1	8.54	78.79	26.4169	1	0.4079	0	86.1342	0	0.0406	0	NaN	0	NaN	0	NaN	0
PS122/3_32-75	2020-03-22T08:09:00	86.2267	15.6761	 5	  20	-1.8379	1	33.5123	1	6.7468	4	...-1.8334	1	-1.8382	33.6729	26.9775	1	8.54	78.98	26.4166	1	0.4066	0	86.1315	0	0.0379	0	NaN	0	NaN	0	NaN	0
PS122/3_32-75	2020-03-22T08:09:00	86.2267	15.6761	 6	  20	-1.8379	1	33.5122	1	6.7302	4	...-1.8334	1	-1.8382	33.6728	26.9775	1	8.54	78.79	26.4166	1	0.4216	0	86.1358	0	0.0395	0	NaN	0	NaN	0	NaN	0
PS122/3_32-75	2020-03-22T08:09:00	86.2267	15.6761	 7	  20	-1.8378	1	33.5122	1	6.7377	4	...-1.8333	1	-1.8381	33.6728	26.9775	1	8.54	78.88	26.4167	1	0.4191	0	86.1353	0	0.0382	0	NaN	0	NaN	0	NaN	0
PS122/3_32-75	2020-03-22T08:09:00	86.2267	15.6761	 8	  10	-1.8379	1	33.5122	1	6.7466	4	...-1.8332	1	-1.8380	33.6730	26.9776	1	8.54	78.98	26.4119	1	0.4241	0	86.1273	0	0.0506	0	NaN	0	NaN	0	NaN	0
PS122/3_32-75	2020-03-22T08:09:00	86.2267	15.6761	 9	   2	-1.8385	1	33.5135	1	6.7651	4	...-1.8337	1	-1.8385	33.6741	26.9785	1	8.54	79.19	26.4087	1	0.4216	0	86.1433	0	0.2268	0	NaN	0	NaN	0	NaN	0
PS122/3_32-75	2020-03-22T08:09:00	86.2267	15.6761	10	   2	-1.8384	1	33.5136	1	6.7669	4	...-1.8336	1	-1.8384	33.6742	26.9785	1	8.54	79.22	26.4089	1	0.4228	0	86.1305	0	0.2336	0	NaN	0	NaN	0	NaN	0
