/* DATA DESCRIPTION:
Citation:	Schmithüsen, Holger; Schröter, Steffen; Wenzel, Julia (2021): Meteorological observations during POLARSTERN cruise PS122/2. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.935264
Abstract:	The meteorological observatory Polarstern issues synoptical reports every 3 hours during times of ship operation. The reports are distritubed via global networks of the World Meteorological Organisation. When designated weather observers are onboard manual observations are included in the reports. For times that are not covered by an observer automatic reports are issued. All observations are made in compliance with standards of the World Meteorological Organisation and those of the German Weather Service (DWD). This dataset compiles all synoptical reports issued during Polarstern cruise PS122/2.
Project(s):	Meteorological Long-Term Observations @ AWI (AWI_Meteo) (URI: http://www.awi.de/en/science/long-term-observations.html)
	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://www.mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
Coverage:	MEDIAN LATITUDE: 87.332762 * MEDIAN LONGITUDE: 100.342196 * SOUTH-BOUND LATITUDE: 86.600000 * WEST-BOUND LONGITUDE: 55.600000 * NORTH-BOUND LATITUDE: 88.600000 * EAST-BOUND LONGITUDE: 119.100000
	DATE/TIME START: 2019-12-13T12:00:00 * DATE/TIME END: 2020-02-24T09:00:00
	MINIMUM ALTITUDE: 25 m * MAXIMUM ALTITUDE: 25 m
Event(s):	PS122/2-track * LATITUDE START: 86.593183 * LONGITUDE START: 119.242046 * LATITUDE END: 88.591065 * LONGITUDE END: 55.585682 * DATE/TIME START: 2019-12-13T09:04:00 * DATE/TIME END: 2020-02-24T08:59:59 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/2 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Underway cruise track measurements (CT)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html)
	LATITUDE (Latitude) * GEOCODE * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html)
	LONGITUDE (Longitude) * GEOCODE * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html)
	ALTITUDE [m] (Altitude) * GEOCODE * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html)
	Wind direction [deg] (dd) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Anemometer
	Wind speed [m/s] (ff) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Anemometer
	Temperature, air [°C] (TTT) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Thermometer
	Dew/frost point [°C] (TdTdTd) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Hygrometer (HYGRO)
	Pressure, atmospheric [hPa] (PPPP) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Barometer (BARO)
	Characteristic of barometric tendency [code] (a) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Barometer (BARO)
	Amount of barometric tendency [hPa] (ppp) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Barometer (BARO)
	Mean ships course [code] (Ds) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html)
	Mean ships speed [code] (Vs) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html)
	Temperature, water [°C] (Temp) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Thermometer
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	5822 data points
*/
Date/Time	Latitude	Longitude	Altitude [m]	dd [deg]	ff [m/s]	TTT [°C]	TdTdTd [°C]	PPPP [hPa]	a [code]	ppp [hPa]	Ds [code]	Vs [code]	Temp [°C]
2019-12-13T12:00	86.6	119.1	25	70	5	-24.9	-27.6	1015.1	5	0.2	6	0	-1.6
2019-12-13T15:00	86.6	119.0	25	50	4	-23.3	-25.5	1014.9	5	0.2	6	0	-1.6
2019-12-13T18:00	86.6	118.9	25	40	3	-21.7	-23.8	1014.4	8	0.5	6	0	-1.6
2019-12-13T21:00	86.6	118.8	25	60	3	-21.1	-23.2	1014.5	0	0.1	6	0	-1.6
2019-12-14T00:00	86.6	118.7	25	50	2	-21.0	-23.0	1014.5	5	0.0	7	0	-1.6
2019-12-14T03:00	86.6	118.6	25	60	4	-23.2	-25.5	1014.8	3	0.3	7	0	-1.5
2019-12-14T06:00	86.6	118.6	25	100	2	-22.4	-24.6	1015.3	2	0.5	7	0	-1.5
2019-12-14T09:00	86.6	118.5	25	120	3	-22.0	-24.2	1016.7	3	1.4	7	0	-1.7
2019-12-14T12:00	86.6	118.4	25	160	3	-21.9	-24.0	1017.8	2	1.1	7	0	-1.7
2019-12-14T15:00	86.6	118.4	25	190	4	-23.9	-26.5	1019.1	3	1.3	7	0	-1.7
2019-12-14T18:00	86.6	118.3	25	180	3	-24.3	-27.1	1020.6	3	1.5	6	0	-1.6
2019-12-14T21:00	86.6	118.3	25	190	3	-24.8	-27.1	1022.1	1	1.5	6	0	-1.6
2019-12-15T00:00	86.6	118.2	25	290	1	-26.6	-28.8	1023.1	1	1.0	6	0	-1.6
2019-12-15T03:00	86.6	118.2	25	330	1	-27.7	-30.0	1024.0	3	0.9	6	0	-1.6
2019-12-15T06:00	86.6	118.1	25	80	2	-28.7	-31.6	1024.7	1	0.7	6	0	-1.6
2019-12-15T09:00	86.6	118.0	25	50	2	-28.7	-31.4	1025.1	1	0.4	6	0	-1.7
2019-12-15T12:00	86.6	118.0	25	40	4	-27.0	-29.7	1025.6	1	0.5	6	0	-1.7
2019-12-15T15:00	86.6	117.8	25	40	4	-28.4	-31.5	1025.4	5	0.2	6	0	-1.6
2019-12-15T18:00	86.6	117.7	25	40	4	-21.7	-23.8	1024.5	7	0.9	6	0	-1.6
2019-12-15T21:00	86.6	117.6	25	30	5	-20.8	-23.2	1024.2	5	0.3	6	0	-1.6
2019-12-16T00:00	86.6	117.5	25	30	5	-23.4	-26.5	1023.2	6	1.0	6	0	-1.6
2019-12-16T03:00	86.6	117.3	25	40	8	-21.4	-23.7	1021.4	8	1.8	6	0	-1.6
2019-12-16T06:00	86.6	117.0	25	30	10	-19.6	-21.5	1020.2	8	1.2	6	0	-1.7
2019-12-16T09:00	86.6	116.8	25	30	11	-20.6	-22.8	1018.4	6	1.8	6	0	-1.7
2019-12-16T12:00	86.6	116.4	25	50	9	-19.4	-22.3	1017.6	8	0.8	6	0	-1.7
2019-12-16T15:00	86.6	116.1	25	70	12	-19.2	-21.5	1017.3	8	0.3	6	0	-1.7
2019-12-16T18:00	86.6	115.8	25	70	8	-20.1	-22.3	1017.9	1	0.6	6	0	-1.7
2019-12-16T21:00	86.6	115.5	25	70	9	-19.4	-21.9	1018.5	3	0.6	6	0	-1.6
2019-12-17T00:00	86.6	115.3	25	80	8	-18.4	-20.3	1019.0	3	0.5	6	0	-1.6
2019-12-17T03:00	86.6	115.1	25	70	8	-17.8	-19.8	1019.4	1	0.4	6	0	-1.7
2019-12-17T06:00	86.6	114.9	25	100	10	-17.8	-19.9	1019.4	0	0.0	7	0	-1.7
2019-12-17T09:00	86.6	114.7	25	100	8	-19.2	-21.6	1021.1	1	1.7	7	0	-1.7
2019-12-17T12:00	86.6	114.5	25	130	8	-18.8	-21.6	1021.9	3	0.8	7	0	-1.7
2019-12-17T15:00	86.6	114.4	25	110	7	-18.8	-21.4	1022.4	1	0.5	7	0	-1.7
2019-12-17T18:00	86.7	114.2	25	130	8	-18.1	-20.8	1023.0	1	0.6	7	0	-1.6
2019-12-17T21:00	86.7	114.1	25	130	8	-17.5	-20.1	1023.9	3	0.9	7	0	-1.6
2019-12-18T00:00	86.7	114.0	25	120	7	-17.4	-19.7	1025.0	3	1.1	7	0	-1.6
2019-12-18T03:00	86.7	113.8	25	130	6	-17.5	-19.1	1025.6	3	0.6	7	0	-1.6
2019-12-18T06:00	86.7	113.7	25	110	6	-17.6	-19.5	1026.5	3	0.9	7	0	-1.6
2019-12-18T09:00	86.7	113.6	25	110	5	-17.8	-19.4	1027.4	2	0.9	6	0	-1.6
2019-12-18T12:00	86.7	113.5	25	90	3	-19.2	-21.1	1028.1	2	0.7	6	0	-1.7
2019-12-18T15:00	86.7	113.4	25	50	4	-21.3	-23.6	1028.0	8	0.1	6	0	-1.6
2019-12-18T18:00	86.7	113.4	25	40	4	-21.8	-23.8	1028.3	0	0.3	6	0	-1.6
2019-12-18T21:00	86.7	113.3	25	70	4	-21.3	-23.0	1028.7	3	0.4	6	0	-1.7
2019-12-19T00:00	86.7	113.2	25	130	4	-20.5	-22.4	1028.8	0	0.1	6	0	-1.7
2019-12-19T03:00	86.7	113.1	25	120	3	-20.3	-22.2	1029.0	3	0.2	6	0	-1.6
2019-12-19T06:00	86.7	113.1	25	80	3	-20.9	-22.8	1029.1	0	0.1	6	0	-1.6
2019-12-19T09:00	86.7	113.0	25	70	1	-21.9	-24.1	1029.5	3	0.4	6	0	-1.6
2019-12-19T12:00	86.7	113.0	25	20	3	-22.7	-24.8	1029.6	0	0.1	6	0	-1.6
2019-12-19T15:00	86.7	112.9	25	60	2	-22.2	-24.5	1029.3	5	0.3	6	0	-1.6
2019-12-19T18:00	86.7	112.8	25	30	2	-24.3	-26.6	1029.3	4	0.0	6	0	-1.6
2019-12-19T21:00	86.7	112.8	25	30	3	-24.3	-26.3	1029.4	3	0.1	5	0	-1.6
2019-12-20T00:00	86.7	112.7	25	40	2	-25.2	-27.3	1029.5	1	0.1	6	0	-1.6
2019-12-20T03:00	86.7	112.7	25	40	2	-25.8	-28.4	1028.8	6	0.7	6	0	-1.6
2019-12-20T06:00	86.7	112.6	25	50	3	-26.1	-28.5	1029.0	2	0.2	7	0	-1.7
