/* DATA DESCRIPTION:
Citation:	Schmithüsen, Holger; Rohleder, Christian; Hausen, Robert (2021): Meteorological observations during POLARSTERN cruise PS122/3. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.935265
Abstract:	The meteorological observatory Polarstern issues synoptical reports every 3 hours during times of ship operation. The reports are distritubed via global networks of the World Meteorological Organisation. When designated weather observers are onboard manual observations are included in the reports. For times that are not covered by an observer automatic reports are issued. All observations are made in compliance with standards of the World Meteorological Organisation and those of the German Weather Service (DWD). This dataset compiles all synoptical reports issued during Polarstern cruise PS122/3.
Project(s):	Meteorological Long-Term Observations @ AWI (AWI_Meteo) (URI: http://www.awi.de/en/science/long-term-observations.html)
	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://www.mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
Coverage:	MEDIAN LATITUDE: 84.871287 * MEDIAN LONGITUDE: 16.622772 * SOUTH-BOUND LATITUDE: 78.100000 * WEST-BOUND LONGITUDE: 8.000000 * NORTH-BOUND LATITUDE: 88.600000 * EAST-BOUND LONGITUDE: 54.500000
	DATE/TIME START: 2020-02-24T12:00:00 * DATE/TIME END: 2020-06-04T09:00:00
	MINIMUM ALTITUDE: 25 m * MAXIMUM ALTITUDE: 25 m
Event(s):	PS122/3-track * LATITUDE START: 88.591064 * LONGITUDE START: 55.585572 * LATITUDE END: 78.234121 * LONGITUDE END: 15.624074 * DATE/TIME START: 2020-02-24T09:00:00 * DATE/TIME END: 2020-06-04T06:30:00 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/3 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Underway cruise track measurements (CT)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html)
	LATITUDE (Latitude) * GEOCODE * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html)
	LONGITUDE (Longitude) * GEOCODE * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html)
	ALTITUDE [m] (Altitude) * GEOCODE * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html)
	Wind direction [deg] (dd) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Anemometer
	Wind speed [m/s] (ff) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Anemometer
	Temperature, air [°C] (TTT) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Thermometer
	Dew/frost point [°C] (TdTdTd) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Hygrometer (HYGRO)
	Pressure, atmospheric [hPa] (PPPP) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Barometer (BARO)
	Characteristic of barometric tendency [code] (a) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Barometer (BARO)
	Amount of barometric tendency [hPa] (ppp) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Barometer (BARO)
	Mean ships course [code] (Ds) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html)
	Mean ships speed [code] (Vs) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html)
	Temperature, water [°C] (Temp) * PI: Schmithüsen, Holger (https://orcid.org/0000-0001-5776-6777, holger.schmithuesen@awi.de, https://www.awi.de/nc/ueber-uns/organisation/mitarbeiter/holger-schmithuesen.html) * METHOD/DEVICE: Thermometer
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	8060 data points
*/
Date/Time	Latitude	Longitude	Altitude [m]	dd [deg]	ff [m/s]	TTT [°C]	TdTdTd [°C]	PPPP [hPa]	a [code]	ppp [hPa]	Ds [code]	Vs [code]	Temp [°C]
2020-02-24T12:00	88.6	54.5	25	60	14	-24.0	-26.8	989.4	7	0.5	6	1	-1.8
2020-02-24T15:00	88.6	53.3	25	60	15	-23.7	-26.5	989.7	1	0.3	6	1	-1.8
2020-02-24T18:00	88.6	52.3	25	60	14	-23.0	-25.9	989.7	0	0.0	6	1	-1.8
2020-02-24T21:00	88.6	51.1	25	60	14	-21.9	-24.8	990.0	3	0.3	6	1	-1.8
2020-02-25T00:00	88.6	50.0	25	50	14	-22.8	-25.4	991.5	2	1.5	6	1	-1.8
2020-02-25T03:00	88.6	48.9	25	60	14	-21.8	-24.7	992.2	3	0.7	6	1	-1.8
2020-02-25T06:00	88.6	47.8	25	60	14	-21.0	-23.8	993.3	3	1.1	6	1	-1.8
2020-02-25T09:00	88.6	46.8	25	50	14	-21.6	-24.5	995.5	3	2.2	6	1	-1.8
2020-02-25T12:00	88.6	45.8	25	40	14	-23.0	-25.9	997.1	1	1.6	6	1	-1.7
2020-02-25T15:00	88.6	44.9	25	40	14	-23.8	-26.3	998.6	1	1.5	6	0	-1.8
2020-02-25T18:00	88.5	44.1	25	30	13	-24.4	-27.2	999.6	1	1.0	6	0	-1.7
2020-02-25T21:00	88.5	43.4	25	30	13	-25.5	-28.2	1000.7	3	1.1	5	0	-1.8
2020-02-26T00:00	88.5	42.6	25	20	13	-25.7	-28.4	1001.4	0	0.7	5	0	-1.7
2020-02-26T03:00	88.5	41.9	25	20	12	-26.1	-28.6	1001.7	2	0.3	5	0	-1.7
2020-02-26T06:00	88.5	41.2	25	20	12	-26.3	-29.1	1001.5	8	0.2	5	0	-1.8
2020-02-26T09:00	88.5	40.6	25	20	12	-26.0	-26.0	1002.0	1	0.5	5	0	-1.8
2020-02-26T12:00	88.5	40.0	25	10	11	-26.9	-30.1	1002.6	2	0.6	5	0	-1.8
2020-02-26T15:00	88.5	39.5	25	10	10	-28.5	-31.1	1002.3	8	0.3	5	0	-1.8
2020-02-26T18:00	88.5	39.1	25	360	11	-29.6	-32.3	1002.5	3	0.2	5	0	-1.7
2020-02-26T21:00	88.5	38.6	25	10	9	-29.4	-32.5	1002.8	3	0.3	5	0	-1.7
2020-02-27T00:00	88.4	38.2	25	10	9	-28.9	-32.1	1003.1	3	0.3	5	0	-1.7
2020-02-27T03:00	88.4	37.8	25	10	8	-29.2	-32.0	1003.6	3	0.5	5	0	-1.7
2020-02-27T06:00	88.4	37.4	25	360	9	-30.5	-33.6	1004.2	2	0.6	5	0	-1.8
2020-02-27T09:00	88.4	37.1	25	10	8	-31.8	-34.3	1005.3	3	1.1	5	0	-1.7
2020-02-27T12:00	88.4	36.7	25	10	9	-32.3	-32.3	1006.1	1	0.8	5	0	-1.7
2020-02-27T15:00	88.4	36.3	25	20	8	-32.4	-32.6	1007.0	3	0.9	5	0	-1.7
2020-02-27T18:00	88.4	35.9	25	20	9	-32.7	-35.3	1007.8	1	0.8	5	0	-1.7
2020-02-27T21:00	88.4	35.5	25	10	9	-33.5	-36.4	1008.8	3	1.0	5	0	-1.7
2020-02-28T00:00	88.4	35.1	25	10	9	-34.4	-37.2	1009.8	1	1.0	5	0	-1.7
2020-02-28T03:00	88.4	34.8	25	10	8	-35.4	-38.4	1010.7	2	0.9	5	0	-1.7
2020-02-28T06:00	88.4	34.4	25	10	8	-36.1	-39.0	1011.2	3	0.5	5	0	-1.8
2020-02-28T09:00	88.4	34.2	25	10	8	-36.2	-39.0	1012.1	1	0.9	5	0	-1.7
2020-02-28T12:00	88.3	33.8	25	10	7	-36.3	-39.6	1012.6	3	0.5	5	0	-1.7
2020-02-28T15:00	88.3	33.6	25	10	7	-36.7	-39.6	1012.8	2	0.2	5	0	-1.7
2020-02-28T18:00	88.3	33.3	25	10	7	-36.7	-39.6	1012.8	0	0.0	5	0	-1.8
2020-02-28T21:00	88.3	33.1	25	360	7	-36.7	-39.6	1013.4	2	0.6	5	0	-1.8
2020-02-29T00:00	88.3	32.8	25	10	7	-36.3	-39.3	1013.6	1	0.2	5	0	-1.8
2020-02-29T03:00	88.3	32.5	25	360	8	-36.4	-39.8	1013.7	3	0.1	5	0	-1.7
2020-02-29T06:00	88.3	32.3	25	360	7	-36.6	-39.9	1013.9	1	0.2	5	0	-1.7
2020-02-29T09:00	88.3	32.1	25	10	7	-36.1	-39.4	1014.3	3	0.4	5	0	-1.7
2020-02-29T12:00	88.3	31.9	25	10	7	-36.1	-39.0	1014.3	0	0.0	5	0	-1.7
2020-02-29T15:00	88.3	31.7	25	360	7	-36.2	-39.4	1014.5	2	0.2	5	0	-1.8
2020-02-29T18:00	88.3	31.6	25	360	6	-36.7	-39.7	1014.3	8	0.2	4	0	-1.8
2020-02-29T21:00	88.3	31.6	25	360	6	-36.4	-39.6	1014.8	1	0.5	4	0	-1.7
2020-03-01T00:00	88.2	31.5	25	360	6	-36.9		1015.1	1	0.3	4	0	-1.8
2020-03-01T03:00	88.2	31.4	25	350	6	-36.9	-39.9	1015.1	0	0.0	4	0	-1.7
2020-03-01T06:00	88.2	31.4	25	10	5	-36.1	-38.9	1014.8	7	0.3	4	0	-1.7
2020-03-01T09:00	88.2	31.4	25	10	5	-35.5	-38.7	1015.1	2	0.3	4	0	-1.7
2020-03-01T12:00	88.2	31.4	25	60	4	-35.5	-38.0	1014.8	8	0.3	4	0	-1.8
2020-03-01T15:00	88.2	31.4	25	90	4	-35.1	-37.7	1014.4	8	0.4	4	0	-1.8
2020-03-01T18:00	88.2	31.4	25	90	3	-35.3	-38.3	1013.7	8	0.7	4	0	-1.8
2020-03-01T21:00	88.2	31.4	25	100	4	-34.6	-37.5	1013.5	7	0.2	4	0	-1.8
2020-03-02T00:00	88.2	31.3	25	80	5	-36.6	-39.5	1012.6	8	0.9	4	0	-1.7
2020-03-02T03:00	88.2	31.3	25	80	4	-36.0	-38.8	1012.1	8	0.5	5	0	-1.7
2020-03-02T06:00	88.2	31.2	25	60	4	-35.0	-37.8	1011.5	6	0.6	5	0	-1.7
2020-03-02T09:00	88.2	31.1	25	50	5	-35.1	-37.8	1011.9	3	0.4	5	0	-1.7
2020-03-02T12:00	88.2	31.1	25	50	5	-35.9	-38.9	1011.6	8	0.3	4	0	-1.7
2020-03-02T15:00	88.2	31.0	25	50	5	-35.1	-37.7	1011.9	3	0.3	5	0	-1.7
2020-03-02T18:00	88.2	30.9	25	40	4	-33.8	-36.4	1012.1	3	0.2	5	0	-1.7
2020-03-02T21:00	88.2	30.8	25	30	4	-33.0	-35.9	1012.8	2	0.7	4	0	-1.7
2020-03-03T00:00	88.2	30.7	25	360	3	-32.6	-35.3	1013.3	3	0.5	4	0	-1.8
2020-03-03T03:00	88.2	30.6	25	350	4	-32.8	-35.4	1014.2	3	0.9	5	0	-1.7
2020-03-03T06:00	88.1	30.6	25	340	3	-33.0	-35.4	1014.7	0	0.5	4	0	-1.7
2020-03-03T09:00	88.1	30.5	25	320	4	-32.8	-35.2	1015.7	3	1.0	4	0	-1.7
2020-03-03T12:00	88.1	30.5	25	330	3	-29.9	-33.3	1017.0	1	1.3	4	0	-1.7
2020-03-03T15:00	88.1	30.4	25	340	2	-33.1	-35.8	1017.7	1	0.7	4	0	-1.7
2020-03-03T18:00	88.1	30.4	25	320	2	-34.0	-37.5	1018.5	1	0.8	4	0	-1.8
2020-03-03T21:00	88.1	30.4	25	300	2	-34.5	-38.0	1019.6	3	1.1	4	0	-1.7
2020-03-04T00:00	88.1	30.4	25	260	3	-35.2	-38.5	1020.2	2	0.6	4	0	-1.7
2020-03-04T03:00	88.1	30.4	25	270	3	-34.6	-37.7	1020.8	1	0.6	4	0	-1.7
2020-03-04T06:00	88.1	30.4	25	250	7	-35.3	-38.7	1021.2	3	0.4	4	0	-1.8
2020-03-04T09:00	88.1	30.4	25	260	6	-35.8	-39.0	1022.0	3	0.8	3	0	-1.7
2020-03-04T12:00	88.1	30.5	25	260	6	-36.8	-39.7	1022.7	1	0.7	3	0	-1.6
2020-03-04T15:00	88.1	30.5	25	250	7	-37.1		1023.2	3	0.5	3	0	-1.7
2020-03-04T18:00	88.1	30.6	25	240	7	-37.3		1023.6	3	0.4	3	0	-1.8
2020-03-04T21:00	88.1	30.7	25	240	7	-36.3	-39.6	1024.4	2	0.8	2	0	-1.7
2020-03-05T00:00	88.1	30.7	25	230	7	-35.9	-39.3	1024.5	0	0.1	3	0	-1.8
2020-03-05T03:00	88.1	30.8	25	220	7	-36.0	-39.5	1024.7	2	0.2	2	0	-1.7
2020-03-05T06:00	88.1	30.8	25	220	7	-35.8	-39.3	1024.4	6	0.3	1	0	-1.7
2020-03-05T09:00	88.1	30.8	25	200	7	-36.8	-40.0	1024.5	0	0.1	1	0	-1.7
2020-03-05T12:00	88.1	30.8	25	200	7	-37.0	-39.7	1024.4	6	0.1	8	0	-1.7
2020-03-05T15:00	88.1	30.8	25	170	7	-37.4		1023.4	6	1.0	8	0	-1.8
2020-03-05T18:00	88.1	30.8	25	150	8	-36.6	-39.7	1022.1	6	1.3	7	0	-1.8
2020-03-05T21:00	88.1	30.7	25	120	9	-36.9		1021.2	8	0.9	7	0	-1.8
2020-03-06T00:00	88.1	30.6	25	120	8	-36.7	-39.6	1019.4	8	1.8	7	0	-1.7
2020-03-06T03:00	88.1	30.4	25	90	8	-35.2	-38.3	1017.5	6	1.9	6	0	-1.7
2020-03-06T06:00	88.1	30.2	25	80	9	-31.6	-34.2	1014.8	8	2.7	6	0	-1.8
2020-03-06T09:00	88.1	29.9	25	70	12	-30.1	-32.7	1012.7	6	2.1	6	0	-1.8
2020-03-06T12:00	88.1	29.5	25	70	11	-28.4	-31.0	1011.0	6	1.7	6	0	-1.8
2020-03-06T15:00	88.1	29.2	25	70	10	-29.3	-31.6	1009.7	6	1.3	6	0	-1.7
2020-03-06T18:00	88.1	28.8	25	70	9	-29.2	-31.7	1008.5	6	1.2	6	0	-1.7
2020-03-06T21:00	88.1	28.4	25	60	9	-29.5	-32.0	1008.3	8	0.2	6	0	-1.7
2020-03-07T00:00	88.1	28.1	25	50	10	-29.3	-32.1	1007.4	7	0.9	6	0	-1.7
2020-03-07T03:00	88.1	27.7	25	50	10	-28.7	-31.5	1006.5	8	0.9	5	0	-1.7
2020-03-07T06:00	88.1	27.4	25	50	9	-28.7	-31.5	1005.8	7	0.7	5	0	-1.8
2020-03-07T09:00	88.1	27.0	25	40	9	-29.2	-32.0	1005.5	8	0.3	5	0	-1.7
2020-03-07T12:00	88.1	26.8	25	50	9	-28.8	-31.6	1004.8	7	0.7	5	0	-1.7
2020-03-07T15:00	88.1	26.5	25	50	6	-27.9	-30.2	1003.9	8	0.9	5	0	-1.7
2020-03-07T18:00	88.1	26.2	25	50	7	-27.4	-30.1	1003.2	8	0.7	5	0	-1.7
2020-03-07T21:00	88.0	26.0	25	50	7	-27.0	-29.8	1002.9	6	0.3	5	0	-1.8
2020-03-08T00:00	88.0	25.8	25	50	7	-27.4	-30.1	1002.2	8	0.7	5	0	-1.7
2020-03-08T03:00	88.0	25.6	25	40	7	-28.0	-30.6	1001.7	7	0.5	5	0	-1.8
2020-03-08T06:00	88.0	25.4	25	20	7	-29.1	-31.6	1001.4	7	0.3	5	0	-1.7
2020-03-08T09:00	88.0	25.2	25	20	6	-31.4	-33.1	1002.2	3	0.8	5	0	-1.7
2020-03-08T12:00	88.0	25.0	25	360	7	-33.1	-33.8	1001.8	6	0.4	5	0	-1.8
2020-03-08T15:00	88.0	24.9	25	360	8	-34.2	-35.0	1001.8	4	0.0	5	0	-1.8
2020-03-08T18:00	88.0	24.7	25	360	8	-35.6	-38.8	1001.6	8	0.2	5	0	-1.8
2020-03-08T21:00	88.0	24.6	25	350	10	-36.4	-40.0	1001.3	8	0.3	5	0	-1.8
2020-03-09T00:00	88.0	24.4	25	350	10	-37.4		1000.6	7	0.7	4	0	-1.8
2020-03-09T03:00	87.9	24.3	25	340	11	-37.9		999.6	7	1.0	4	0	-1.8
2020-03-09T06:00	87.9	24.2	25	340	11	-37.8		998.6	6	1.0	4	0	-1.8
2020-03-09T09:00	87.9	24.1	25	330	12	-37.7		997.7	8	0.9	4	0	-1.8
2020-03-09T12:00	87.9	24.0	25	320	11	-38.2		996.7	8	1.0	4	0	-1.8
2020-03-09T15:00	87.9	24.0	25	320	12	-38.1		995.4	6	1.3	4	0	-1.8
2020-03-09T18:00	87.9	24.0	25	320	11	-37.9		994.7	7	0.7	4	0	-1.8
2020-03-09T21:00	87.8	24.1	25	320	11	-36.3	-39.9	993.8	8	0.9	4	0	-1.8
2020-03-10T00:00	87.8	24.2	25	320	11	-38.5		993.2	8	0.6	4	0	-1.8
2020-03-10T03:00	87.8	24.3	25	320	11	-36.2	-39.4	992.4	6	0.8	4	0	-1.8
2020-03-10T06:00	87.8	24.4	25	320	12	-37.9		991.0	6	1.4	4	0	-1.8
2020-03-10T09:00	87.8	24.5	25	320	12	-38.4		990.3	8	0.7	4	0	-1.8
2020-03-10T12:00	87.7	24.7	25	310	12	-39.1	-40.0	989.3	8	1.0	4	0	-1.8
2020-03-10T15:00	87.7	24.8	25	310	12	-38.7		987.7	7	1.6	4	0	-1.8
2020-03-10T18:00	87.7	25.0	25	300	11	-38.2		985.5	8	2.2	4	0	-1.8
2020-03-10T21:00	87.7	25.1	25	290	9	-37.4		984.2	7	1.3	4	0	-1.8
2020-03-11T00:00	87.7	25.1	25	290	8	-34.7	-37.9	982.7	6	1.5	4	0	-1.8
2020-03-11T03:00	87.7	25.0	25	290	6	-34.6	-38.0	982.5	5	0.2	5	0	-1.7
