Run_No.	Date	ID	Peak_No.	N3N2_mean	N3N2_mean_QF	N3N2_sd	N3N2_sd_QF	NO3+NO2_cd_CF	NO3+NO2_CF_QF	N3N2_mean_c	N3N2_mean_c_QF	N3N2_sd_c	N3N2_sd_c_QF	Si_mean	Si_mean_QF	Si_stdev	Si_sd_QF	Si(OH)4_cd_CF	Si(OH)4_CF_QF	Si_mean_c	Si_mean_c_QF	Si_sd_c	Si_sd_c_QF	PO4_mean	PO4_mean_QF	PO4_sd	PO4_sd_QF	PO4_cd_CF	PO4_CF_QF	PO4_mean_c	PO4_mean_c_QF	PO4_sd_c	PO4_sd_c_QF	NO2_mean	NO2_mean_QF	NO2_stdev	NO2_sd_QF	NO2_cd_CF	NO2_CF_QF	NO2_mean_c	NO2_mean_c_QF	NO2_sd_c	NO2_sd_c_QF	T(D)N_mean	T(D)N_mean_QF	T(D)N_sd	T(D)N_sd_QF	T(D)N_CF	T(D)N_CF_QF	T(D)N_mean_c	T(D)N_mean_c_QF	T(D)N_sd_c	T(D)N_sd_c_QF	T(D)P_mean	T(D)P_mean_QF	T(D)P_sd	T(D)P_sd_QF	T(D)P_CF	T(D)P_CF_QF	T(D)P_mean_c	T(D)P_mean_c_QF	T(D)P_sd_c	T(D)P_sd_c_QF	NH4_mean	NH4_mean_QF	NH4_stdev	NH4_sd_QF	NH4_cd_CF	NH4_cd_CF_QF	NH4_mean_c	NH4_mean_c_QF	NH4_sd_c	NH4_sd_c_QF

1	09.02.21	499	43	10.759	2	0.013	2	0.931	11	10.012	2	0.012	2	4.233	2	0.033	2	1.230	11	5.206	2	0.041	2	0.734	2	0.004	2	1.000	2	0.734	2	0.004	2	0.044	2	0.003	2	0.367	2	0.016	2	0.001	2	15.644	2	0.110	2	1.206	2	18.873	2	0.132	2	0.520	4	0.004	4	1.209	4	0.629	4	0.005	4	5.088	10	0.120	2	1.136	2	5.777	10	0.136	2

1	09.02.21	500	45	9.791	2	0.009	2	0.931	11	9.111	2	0.009	2	3.918	2	0.001	2	1.230	11	4.819	2	0.002	2	0.660	2	0.001	2	1.000	2	0.660	2	0.001	2	0.023	2	0.003	2	0.367	2	0.008	2	0.001	2	12.989	2	0.009	2	1.206	2	15.670	2	0.011	2	0.466	4	0.012	4	1.209	4	0.563	4	0.015	4	3.065	10	0.020	2	1.136	2	3.480	10	0.022	2

1	09.02.21	501	47	8.214	2	0.004	2	0.931	11	7.644	2	0.003	2	4.338	2	0.005	2	1.230	11	5.335	2	0.006	2	0.662	2	0.001	2	1.000	2	0.662	2	0.001	2	0.032	2	0.001	2	0.367	2	0.012	2	0.000	2	14.836	2	0.074	2	1.206	2	17.899	2	0.089	2	0.466	4	0.003	4	1.209	4	0.563	4	0.003	4	5.951	10	0.073	2	1.136	2	6.757	10	0.083	2

1	09.02.21	502	49	4.952	2	0.006	2	0.931	11	4.608	2	0.005	2	4.353	2	0.012	2	1.230	11	5.353	2	0.015	2	0.504	2	0.001	2	1.000	2	0.504	2	0.001	2	0.038	2	0.001	2	0.367	2	0.014	2	0.000	2	8.916	2	0.043	2	1.206	2	10.756	2	0.052	2	0.368	4	0.000	4	1.209	4	0.445	4	0.000	4	2.060	2	0.074	2	1.136	2	2.339	2	0.084	2

1	09.02.21	503	51	3.826	2	0.005	2	0.931	11	3.560	2	0.005	2	4.029	2	0.018	2	1.230	11	4.955	2	0.022	2	0.421	2	0.001	2	1.000	2	0.421	2	0.001	2	0.039	2	0.001	2	0.367	2	0.014	2	0.001	2	14.057	2	0.042	2	1.206	2	16.959	2	0.051	2	0.287	4	0.003	4	1.209	4	0.347	4	0.003	4	7.993	10	0.141	2	1.136	2	9.076	10	0.160	2

1	09.02.21	504	53	2.995	2	0.004	2	0.931	11	2.787	2	0.003	2	3.517	2	0.006	2	1.230	11	4.326	2	0.007	2	0.387	2	0.000	2	1.000	2	0.387	2	0.000	2	0.058	2	0.001	2	0.367	2	0.021	2	0.000	2	15.151	2	0.052	2	1.206	2	18.278	2	0.062	2	0.266	4	0.023	4	1.209	4	0.321	4	0.028	4	8.292	10	0.001	2	1.136	2	9.415	10	0.001	2

1	09.02.21	505	55	1.873	2	0.008	2	0.931	11	1.743	2	0.007	2	2.858	2	0.003	2	1.230	11	3.515	2	0.003	2	0.305	2	0.003	2	1.000	2	0.305	2	0.003	2	0.041	2	0.001	2	0.367	2	0.015	2	0.000	2	8.177	2	0.019	2	1.206	2	9.864	2	0.023	2	0.205	4	0.003	4	1.209	4	0.248	4	0.003	4	3.733	10	0.122	2	1.136	2	4.238	10	0.139	2

1	09.02.21	506	57	1.829	2	0.001	2	0.931	11	1.702	2	0.001	2	2.829	2	0.007	2	1.230	11	3.479	2	0.009	2	0.291	2	0.001	2	1.000	2	0.291	2	0.001	2	0.063	2	0.000	2	0.367	2	0.023	2	0.000	2	17.820	2	0.026	2	1.206	2	21.498	2	0.032	2	0.205	4	0.013	4	1.209	4	0.248	4	0.015	4	8.295	10	0.000	2	1.136	2	9.419	10	0.000	2

1	09.02.21	507	59	1.776	2	0.002	2	0.931	11	1.652	2	0.002	2	2.832	2	0.001	2	1.230	11	3.483	2	0.002	2	0.294	2	0.002	2	1.000	2	0.294	2	0.002	2	0.038	2	0.001	2	0.367	2	0.014	2	0.000	2	4.913	2	0.054	2	1.206	2	5.927	2	0.065	2	0.210	4	0.003	4	1.209	4	0.254	4	0.003	4	0.888	2	0.328	2	1.136	2	1.008	2	0.373	2

1	09.02.21	508	61	1.818	2	0.001	2	0.931	11	1.692	2	0.001	2	2.813	2	0.003	2	1.230	11	3.460	2	0.003	2	0.283	2	0.000	2	1.000	2	0.283	2	0.000	2	0.063	2	0.001	2	0.367	2	0.023	2	0.000	2	11.369	2	0.051	2	1.206	2	13.716	2	0.061	2	0.195	4	0.008	4	1.209	4	0.235	4	0.009	4	7.136	10	0.081	2	1.136	2	8.103	10	0.092	2

1	09.02.21	509	63	1.727	2	0.001	2	0.931	11	1.607	2	0.001	2	2.813	2	0.006	2	1.230	11	3.459	2	0.008	2	0.286	2	0.002	2	1.000	2	0.286	2	0.002	2	0.028	2	0.001	2	0.367	2	0.010	2	0.000	2	5.239	2	0.011	2	1.206	2	6.321	2	0.014	2	0.183	4	0.010	4	1.209	4	0.221	4	0.012	4	0.886	2	0.165	2	1.136	2	1.006	2	0.187	2

1	09.02.21	510	65	1.725	2	0.004	2	0.931	11	1.605	2	0.004	2	2.802	2	0.001	2	1.230	11	3.446	2	0.002	2	0.314	2	0.001	2	1.000	2	0.314	2	0.001	2	0.024	2	0.002	2	0.367	2	0.009	2	0.001	2	4.739	2	0.023	2	1.206	2	5.717	2	0.027	2	0.212	4	0.002	4	1.209	4	0.256	4	0.003	4	0.363	2	0.042	2	1.136	2	0.412	2	0.047	2

1	09.02.21	511	67	12.993	2	0.006	2	0.931	11	12.091	2	0.006	2	4.621	2	0.007	2	1.230	11	5.683	2	0.009	2	0.648	2	0.001	2	1.000	2	0.648	2	0.001	2	0.024	2	0.001	2	0.367	2	0.009	2	0.001	2	13.469	2	0.010	2	1.206	2	16.249	2	0.012	2	0.447	4	0.004	4	1.209	4	0.540	4	0.005	4	0.412	2	0.021	2	1.136	2	0.468	2	0.024	2

1	09.02.21	512	69	10.808	2	0.013	2	0.931	11	10.058	2	0.013	2	4.179	2	0.006	2	1.230	11	5.139	2	0.008	2	0.744	2	0.002	2	1.000	2	0.744	2	0.002	2	0.080	2	0.002	2	0.367	2	0.029	2	0.001	2	12.188	2	0.011	2	1.206	2	14.703	2	0.013	2	0.524	4	0.000	4	1.209	4	0.634	4	0.000	4	0.917	2	0.004	2	1.136	2	1.041	2	0.005	2

1	09.02.21	513	71	9.921	2	0.030	2	0.931	11	9.233	2	0.028	2	3.996	2	0.003	2	1.230	11	4.915	2	0.003	2	0.697	2	0.001	2	1.000	2	0.697	2	0.001	2	0.026	2	0.001	2	0.367	2	0.009	2	0.000	2	11.264	2	0.018	2	1.206	2	13.589	2	0.022	2	0.486	4	0.003	4	1.209	4	0.588	4	0.003	4	0.547	2	0.014	2	1.136	2	0.621	2	0.016	2

1	09.02.21	514	73	8.112	2	0.001	2	0.931	11	7.549	2	0.001	2	4.291	2	0.004	2	1.230	11	5.278	2	0.005	2	0.635	2	0.001	2	1.000	2	0.635	2	0.001	2	0.022	2	0.001	2	0.367	2	0.008	2	0.001	2	9.460	2	0.005	2	1.206	2	11.412	2	0.006	2	0.442	4	0.001	4	1.209	4	0.534	4	0.002	4	0.308	2	0.010	2	1.136	2	0.350	2	0.011	2

1	09.02.21	516	75	4.833	2	0.001	2	0.931	11	4.498	2	0.001	2	4.493	2	0.001	2	1.230	11	5.525	2	0.001	2	0.495	2	0.000	2	1.000	2	0.495	2	0.000	2	0.024	2	0.001	2	0.367	2	0.009	2	0.001	2	7.248	2	0.006	2	1.206	2	8.744	2	0.008	2	0.341	4	0.007	4	1.209	4	0.412	4	0.009	4	0.301	2	0.008	2	1.136	2	0.341	2	0.009	2

1	09.02.21	517	77	3.004	2	0.006	2	0.931	11	2.795	2	0.006	2	3.306	2	0.001	2	1.230	11	4.065	2	0.001	2	0.369	2	0.002	2	1.000	2	0.369	2	0.002	2	0.033	2	0.001	2	0.367	2	0.012	2	0.001	2	5.731	2	0.002	2	1.206	2	6.913	2	0.003	2	0.248	4	0.001	4	1.209	4	0.299	4	0.001	4	0.329	2	0.005	2	1.136	2	0.373	2	0.006	2

1	09.02.21	518	79	2.234	2	0.008	2	0.931	11	2.079	2	0.008	2	2.756	2	0.015	2	1.230	11	3.389	2	0.018	2	0.327	2	0.001	2	1.000	2	0.327	2	0.001	2	0.032	2	0.001	2	0.367	2	0.012	2	0.000	2	5.675	2	0.009	2	1.206	2	6.846	2	0.011	2	0.217	4	0.003	4	1.209	4	0.262	4	0.003	4	0.388	2	0.001	2	1.136	2	0.440	2	0.001	2

1	09.02.21	519	81	2.121	2	0.004	2	0.931	11	1.973	2	0.003	2	2.695	2	0.005	2	1.230	11	3.314	2	0.006	2	0.325	2	0.002	2	1.000	2	0.325	2	0.002	2	0.024	2	0.001	2	0.367	2	0.009	2	0.000	2	5.143	2	0.030	2	1.206	2	6.205	2	0.036	2	0.216	4	0.001	4	1.209	4	0.261	4	0.001	4	0.218	2	0.005	2	1.136	2	0.247	2	0.006	2

1	09.02.21	520	83	2.165	2	0.001	2	0.931	11	2.015	2	0.001	2	2.743	2	0.004	2	1.230	11	3.373	2	0.004	2	0.326	2	0.001	2	1.000	2	0.326	2	0.001	2	0.029	2	0.001	2	0.367	2	0.010	2	0.000	2	5.292	2	0.023	2	1.206	2	6.384	2	0.028	2	0.212	4	0.001	4	1.209	4	0.256	4	0.002	4	0.268	2	0.002	2	1.136	2	0.304	2	0.002	2

1	09.02.21	521	85	2.191	2	0.001	2	0.931	11	2.039	2	0.001	2	2.744	2	0.002	2	1.230	11	3.374	2	0.003	2	0.327	2	0.000	2	1.000	2	0.327	2	0.000	2	0.043	2	0.001	2	0.367	2	0.016	2	0.001	2	5.394	2	0.015	2	1.206	2	6.507	2	0.018	2	0.217	4	0.009	4	1.209	4	0.262	4	0.011	4	0.425	2	0.002	2	1.136	2	0.482	2	0.002	2

1	09.02.21	522	87	2.177	2	0.001	2	0.931	11	2.025	2	0.001	2	2.769	2	0.004	2	1.230	11	3.405	2	0.004	2	0.324	2	0.003	2	1.000	2	0.324	2	0.003	2	0.027	2	0.001	2	0.367	2	0.010	2	0.000	2	5.489	2	0.050	2	1.206	2	6.622	2	0.061	2	0.239	4	0.012	4	1.209	4	0.288	4	0.015	4	0.284	2	0.003	2	1.136	2	0.322	2	0.003	2

1	09.02.21	677	91	13.210	2	0.009	2	0.931	11	12.293	2	0.009	2	4.388	2	0.001	2	1.230	11	5.396	2	0.001	2	0.877	2	0.004	2	1.000	2	0.877	2	0.004	2	0.025	2	0.000	2	0.367	2	0.009	2	0.000	2	12.705	2	0.243	2	1.206	2	15.328	2	0.293	2	0.637	4	0.021	4	1.209	4	0.770	4	0.026	4	0.570	2	0.032	2	1.136	2	0.647	2	0.036	2

1	09.02.21	678	93	13.161	2	0.013	2	0.931	11	12.247	2	0.013	2	4.419	2	0.008	2	1.230	11	5.435	2	0.010	2	0.721	2	0.000	2	1.000	2	0.721	2	0.000	2	0.020	2	0.001	2	0.367	2	0.007	2	0.000	2	12.655	2	0.076	2	1.206	2	15.267	2	0.092	2	0.498	4	0.008	4	1.209	4	0.601	4	0.009	4	0.258	2	0.013	2	1.136	2	0.293	2	0.014	2

1	09.02.21	679	95	11.624	2	0.013	2	0.931	11	10.817	2	0.013	2	4.063	2	0.009	2	1.230	11	4.996	2	0.011	2	0.794	2	0.001	2	1.000	2	0.794	2	0.001	2	0.019	2	0.001	2	0.367	2	0.007	2	0.001	2	11.641	2	0.016	2	1.206	2	14.044	2	0.019	2	0.552	4	0.006	4	1.209	4	0.667	4	0.007	4	0.316	2	0.005	2	1.136	2	0.358	2	0.006	2

1	09.02.21	680	97	7.083	2	0.008	2	0.931	11	6.591	2	0.008	2	2.180	2	0.002	2	1.230	11	2.681	2	0.003	2	0.564	2	0.000	2	1.000	2	0.564	2	0.000	2	0.027	2	0.001	2	0.367	2	0.010	2	0.001	2	8.322	2	0.043	2	1.206	2	10.039	2	0.052	2	0.395	4	0.007	4	1.209	4	0.478	4	0.009	4	0.313	2	0.002	2	1.136	2	0.355	2	0.002	2

1	09.02.21	681	99	6.583	2	0.005	2	0.931	11	6.126	2	0.005	2	2.000	2	0.000	2	1.230	11	2.460	2	0.000	2	0.533	2	0.000	2	1.000	2	0.533	2	0.000	2	0.023	2	0.000	2	0.367	2	0.008	2	0.000	2	8.086	2	0.003	2	1.206	2	9.755	2	0.003	2	0.364	4	0.008	4	1.209	4	0.439	4	0.009	4	0.433	2	0.001	2	1.136	2	0.491	2	0.001	2

