Run No.	Date	Sample ID	PO4_mean	PO4_mean_QF	PO4_sd	PO4_sd_QF	PO4_cd_CF	PO4_cd_CF_QF	PO4_mean_c	PO4_mean_c_QF	PO4_sd_c	PO4_sd_c_QF	NO2_mean	NO2_mean_QF	NO2_stdev	NO2_stdev_QF	NO2_cd_CF	NO2_cd_CF_QF	NO2_mean_c	NO2_mean_c_QF	NO2_sd_c	NO2_sd_c_QF	N3N2_mean	N3N2_mean_QF	N3N2_sd	N3N2_sd_QF	NO3+NO2_cd_CF	NO3+NO2_cd_CF_QF	N3N2_mean_c	N3N2_mean_c_QF	N3N2_sd_c	N3N2_sd_c_QF	Si_mean	Si_mean_QF	Si_stdev	Si_stdev_QF	Si(OH)4_cd_CF	Si(OH)4_cd_CF_QF	Si_mean_c	Si_mean_c_QF	Si_sd_c	Si_sd_c_QF	NH4_mean	NH4_mean_QF	NH4_stdev	NH4_stdev_QF	NH4_cd_CF	NH4_cd_CF_QF	NH4_mean_c	NH4_mean_c_QF	NH4_sd_c	NH4_sd_c_QF
1	30.10.19	36	0.054	2	0.004	2	0.979	2	0.053	2	0.004	2	0.016	2	0.002	2	0.470	2	0.008	2	0.001	2	0.294	2	0.005	2	1.047	2	0.308	2	0.005	2	0.445	2	0.006	2	1.142	2	0.508	2	0.006	2	6.932	10	0.009	2	1.080	2	7.488	10	0.010	2
1	30.10.19	37	0.045	2	0.001	2	0.979	2	0.044	2	0.001	2	0.010	2	0.001	2	0.470	2	0.005	2	0.000	2	0.297	2	0.003	2	1.047	2	0.311	2	0.003	2	0.389	2	0.016	2	1.142	2	0.444	2	0.018	2	1.042	2	0.484	2	1.080	2	1.125	2	0.523	2
1	30.10.19	38	0.057	2	0.001	2	0.979	2	0.056	2	0.001	2	0.003	2	0.002	2	0.470	2	0.002	2	0.001	2	0.294	2	0.010	2	1.047	2	0.308	2	0.010	2	0.473	2	0.007	2	1.142	2	0.540	2	0.008	2	2.130	2	0.005	2	1.080	2	2.300	2	0.005	2
1	30.10.19	39	0.104	2	0.007	2	0.979	2	0.102	2	0.007	2	-0.003	2	0.000	2	0.470	2	-0.003	2	0.000	2	0.396	2	0.005	2	1.047	2	0.415	2	0.005	2	0.498	2	0.004	2	1.142	2	0.568	2	0.005	2	1.519	2	0.001	2	1.080	2	1.641	2	0.001	2
1	30.10.19	40	0.063	2	0.003	2	0.979	2	0.062	2	0.003	2	0.003	2	0.001	2	0.470	2	0.001	2	0.000	2	0.550	2	0.001	2	1.047	2	0.575	2	0.001	2	0.728	2	0.003	2	1.142	2	0.831	2	0.004	2	7.033	10	0.008	2	1.080	2	7.597	10	0.009	2
1	30.10.19	42	0.021	2	0.002	2	0.979	2	0.021	2	0.001	2	-0.001	2	0.001	2	0.470	2	-0.001	2	0.001	2	0.227	2	0.001	2	1.047	2	0.238	2	0.001	2	0.422	2	0.002	2	1.142	2	0.482	2	0.002	2	1.749	2	0.285	2	1.080	2	1.889	2	0.308	2
1	30.10.19	41	0.005	2	0.003	2	0.979	2	0.005	2	0.003	2	0.019	2	0.002	2	0.470	2	0.009	2	0.001	2	0.618	2	0.006	2	1.047	2	0.647	2	0.006	2	0.427	2	0.018	2	1.142	2	0.488	2	0.021	2	0.149	2	0.028	2	1.080	2	0.161	2	0.031	2
1	30.10.19	21	0.691	2	0.003	2	0.979	2	0.677	2	0.002	2	0.037	2	0.001	2	0.470	2	0.017	2	0.000	2	0.823	2	0.013	2	1.047	2	0.862	2	0.014	2	0.505	2	0.004	2	1.142	2	0.576	2	0.004	2	5.626	10	0.052	2	1.080	2	6.077	10	0.056	2
1	30.10.19	20	0.621	2	0.002	2	0.979	2	0.608	2	0.001	2	0.042	2	0.000	2	0.470	2	0.020	2	0.000	2	0.894	2	0.048	2	1.047	2	0.936	2	0.050	2	0.381	2	0.010	2	1.142	2	0.435	2	0.011	2	7.128	10	0.003	2	1.080	2	7.699	10	0.003	2
1	30.10.19	19	0.487	2	0.003	2	0.979	2	0.477	2	0.003	2	0.013	2	0.001	2	0.470	2	0.006	2	0.001	2	0.643	2	0.056	2	1.047	2	0.673	2	0.058	2	0.390	2	0.005	2	1.142	2	0.446	2	0.006	2	1.849	2	0.084	2	1.080	2	1.997	2	0.090	2
