/* DATA DESCRIPTION:
Citation:	Haas, Christian (2020): Links to master tracks in different resolutions of POLARSTERN cruise PS122/2, Arctic Ocean - Arctic Ocean, 2019-12-13 - 2020-02-24 (Version 2). Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.924674
Abstract:	Raw data acquired by position sensors on board RV Polarstern during expedition PS122_2 was processed to receive a validated master track which can be used as reference of further expedition data. During PS122_2 two Trimble Marine SPS461 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processing and evaluation of the data is outlined in the data processing report found at EPIC repository https://hdl.handle.net/10013/epic.1fdb256e-7b9c-4b61-9fbb-3e0dcf9d10ad. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.
Other version:	Haas, Christian (2020): Master track of POLARSTERN cruise PS122/2 in 1 sec resolution (zipped, 36.7 MB). Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.924672
Further details:	Generalized master track of POLARSTERN cruise PS122/2 (Version 2) (URI: https://hs.pangaea.de/nav/mastertrack/ps/PS122_2_mastertrack_generalized_V2.zip)
	Processing report for navigation sensors from POLARSTERN cruise PS122/2 (URI: https://epic.awi.de/id/eprint/52559/12/PS122_2_nav_valid.pdf)
	Station list of POLARSTERN cruise PS122/2 (URI: https://www.pangaea.de/expeditions/events/PS122%2F2)
	Trackline map of navigation sensors from POLARSTERN cruise PS122/2 (URI: https://epic.awi.de/id/eprint/52559/13/PS122_2_nav_valid.jpg)
Project(s):	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://www.mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
Coverage:	MEDIAN LATITUDE: 87.330504 * MEDIAN LONGITUDE: 100.362035 * SOUTH-BOUND LATITUDE: 86.576292 * WEST-BOUND LONGITUDE: 55.585596 * NORTH-BOUND LATITUDE: 88.598703 * EAST-BOUND LONGITUDE: 119.227263
	DATE/TIME START: 2019-12-13T09:24:00 * DATE/TIME END: 2020-02-24T08:59:59
Event(s):	PS122/2-track * LATITUDE START: 86.593183 * LONGITUDE START: 119.242046 * LATITUDE END: 88.591065 * LONGITUDE END: 55.585682 * DATE/TIME START: 2019-12-13T09:04:00 * DATE/TIME END: 2020-02-24T08:59:59 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/2 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Underway cruise track measurements (CT)
Comment:	This dataset contains the master track in 10 min resolution, for other resolutions please see "Further details" and Other version" references. 
	Version 2, with an improved processing compared to V1.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Speed [kn] (Speed) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
	Course [deg] (Course) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	21022 data points
*/
Date/Time	Latitude	Longitude	Speed [kn]	Course [deg]
2019-12-13T09:24	86.59334	119.22726	0.164	280.5
2019-12-13T09:34	86.59343	119.22022	0.154	281.5
2019-12-13T09:44	86.59353	119.21330	0.152	283.5
2019-12-13T09:54	86.59363	119.20625	0.155	283.4
2019-12-13T10:04	86.59372	119.19929	0.153	282.2
2019-12-13T10:14	86.59381	119.19186	0.162	282.0
2019-12-13T10:24	86.59390	119.18475	0.155	281.9
2019-12-13T10:34	86.59399	119.17746	0.159	281.2
2019-12-13T10:44	86.59406	119.17082	0.144	280.1
2019-12-13T10:54	86.59413	119.16431	0.142	280.5
2019-12-13T11:04	86.59419	119.15725	0.153	278.2
2019-12-13T11:14	86.59425	119.15072	0.141	278.9
2019-12-13T11:24	86.59434	119.14428	0.141	282.6
2019-12-13T11:34	86.59442	119.13770	0.144	282.6
2019-12-13T11:44	86.59451	119.13129	0.140	282.3
2019-12-13T11:54	86.59460	119.12466	0.146	284.1
2019-12-13T12:04	86.59468	119.11829	0.139	281.3
2019-12-13T12:14	86.59470	119.11109	0.154	272.8
2019-12-13T12:24	86.59479	119.10467	0.141	283.3
2019-12-13T12:34	86.59489	119.09782	0.151	283.6
2019-12-13T12:44	86.59499	119.09101	0.150	283.5
2019-12-13T12:54	86.59507	119.08398	0.153	281.6
2019-12-13T13:04	86.59517	119.07749	0.143	284.1
2019-12-13T13:14	86.59526	119.07097	0.143	282.8
2019-12-13T13:24	86.59534	119.06440	0.143	281.3
2019-12-13T13:34	86.59543	119.05786	0.144	283.1
2019-12-13T13:44	86.59553	119.05180	0.135	286.4
2019-12-13T13:54	86.59565	119.04560	0.139	288.0
2019-12-13T14:04	86.59576	119.03935	0.140	286.9
2019-12-13T14:14	86.59587	119.03331	0.135	287.0
2019-12-13T14:24	86.59599	119.02733	0.134	287.6
2019-12-13T14:34	86.59610	119.02123	0.136	287.1
2019-12-13T14:44	86.59621	119.01516	0.136	287.3
2019-12-13T14:54	86.59632	119.00914	0.134	286.6
2019-12-13T15:04	86.59642	119.00318	0.133	287.2
2019-12-13T15:14	86.59653	118.99725	0.132	286.5
2019-12-13T15:24	86.59664	118.99136	0.132	287.0
2019-12-13T15:34	86.59674	118.98550	0.131	287.1
2019-12-13T15:44	86.59685	118.97965	0.131	287.2
2019-12-13T15:54	86.59696	118.97365	0.135	287.7
2019-12-13T16:04	86.59707	118.96815	0.124	288.1
2019-12-13T16:14	86.59718	118.96251	0.127	287.7
2019-12-13T16:24	86.59729	118.95696	0.125	289.1
2019-12-13T16:34	86.59740	118.95138	0.126	288.4
2019-12-13T16:44	86.59752	118.94577	0.127	288.9
2019-12-13T16:54	86.59763	118.94009	0.128	288.4
2019-12-13T17:04	86.59775	118.93460	0.125	289.9
2019-12-13T17:14	86.59787	118.92916	0.124	290.4
2019-12-13T17:24	86.59798	118.92373	0.123	289.3
2019-12-13T17:34	86.59809	118.91842	0.120	289.6
2019-12-13T17:44	86.59819	118.91302	0.121	287.5
2019-12-13T17:54	86.59829	118.90762	0.121	287.7
2019-12-13T18:04	86.59840	118.90214	0.123	288.0
2019-12-13T18:14	86.59851	118.89659	0.125	288.5
2019-12-13T18:24	86.59862	118.89110	0.124	288.3
2019-12-13T18:34	86.59873	118.88562	0.124	288.7
2019-12-13T18:44	86.59884	118.88021	0.122	288.5
2019-12-13T18:54	86.59894	118.87479	0.122	288.1
2019-12-13T19:04	86.59905	118.86933	0.123	288.2
2019-12-13T19:14	86.59916	118.86395	0.123	290.2
2019-12-13T19:24	86.59928	118.85853	0.123	290.0
2019-12-13T19:34	86.59940	118.85310	0.123	289.8
2019-12-13T19:44	86.59952	118.84771	0.123	290.3
2019-12-13T19:54	86.59963	118.84233	0.122	290.2
