/* DATA DESCRIPTION:
Citation:	Kanzow, Torsten (2020): Links to master tracks in different resolutions of POLARSTERN cruise PS122/3, Arctic Ocean - Longyearbyen, 2020-02-24 - 2020-06-04 (Version 2). Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.924681
Abstract:	Raw data acquired by position sensors on board RV Polarstern during expedition PS122_3 was processed to receive a validated master track which can be used as reference of further expedition data. During PS122_3 two Trimble Marine SPS461 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processing and evaluation of the data is outlined in the data processing report found at EPIC repository https://hdl.handle.net/10013/epic.7f6b45e2-0cfb-4987-84e6-57f31a64727d. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.
Other version:	Kanzow, Torsten (2020): Master track of POLARSTERN cruise PS122/3 in 1 sec resolution (zipped, 52 MB). Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.924678
Further details:	Generalized master track of POLARSTERN cruise PS122/3 (Version 2) (URI: https://hs.pangaea.de/nav/mastertrack/ps/PS122_3_mastertrack_generalized_V2.zip)
	Processing report for navigation sensors from POLARSTERN cruise PS122/3 (URI: https://epic.awi.de/id/eprint/52560/29/PS122_3_nav_valid.pdf)
	Station list of POLARSTERN cruise PS122/3 (URI: https://www.pangaea.de/expeditions/events/PS122%2F3)
	Trackline map of navigation sensors from POLARSTERN cruise PS122/3 (URI: https://epic.awi.de/id/eprint/52560/30/PS122_3_nav_valid.jpg)
Project(s):	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://www.mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
Coverage:	MEDIAN LATITUDE: 84.883999 * MEDIAN LONGITUDE: 16.644706 * SOUTH-BOUND LATITUDE: 78.111713 * WEST-BOUND LONGITUDE: 7.955815 * NORTH-BOUND LATITUDE: 88.590895 * EAST-BOUND LONGITUDE: 55.451237
	DATE/TIME START: 2020-02-24T09:20:00 * DATE/TIME END: 2020-06-04T06:29:59
Event(s):	PS122/3-track * LATITUDE START: 88.591064 * LONGITUDE START: 55.585572 * LATITUDE END: 78.234121 * LONGITUDE END: 15.624074 * DATE/TIME START: 2020-02-24T09:00:00 * DATE/TIME END: 2020-06-04T06:30:00 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/3 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Underway cruise track measurements (CT)
Comment:	This dataset contains the master track in 10 min resolution, for other resolutions please see "Further details" and Other version" references. 
	Version 2, with an improved processing compared to V1.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Speed [kn] (Speed) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
	Course [deg] (Course) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	29056 data points
*/
Date/Time	Latitude	Longitude	Speed [kn]	Course [deg]
2020-02-24T09:20	88.59089	55.45124	0.598	267.1
2020-02-24T09:30	88.59080	55.38335	0.602	266.7
2020-02-24T09:40	88.59069	55.31520	0.605	266.5
2020-02-24T09:50	88.59058	55.24789	0.597	266.1
2020-02-24T10:00	88.59044	55.18267	0.580	265.0
2020-02-24T10:10	88.59028	55.11820	0.574	264.4
2020-02-24T10:20	88.59012	55.05309	0.580	264.3
2020-02-24T10:30	88.58994	54.98989	0.564	263.5
2020-02-24T10:40	88.58978	54.92552	0.573	264.1
2020-02-24T10:50	88.58961	54.86136	0.572	263.9
2020-02-24T11:00	88.58947	54.79591	0.582	264.9
2020-02-24T11:10	88.58933	54.72902	0.595	265.2
2020-02-24T11:20	88.58919	54.66229	0.593	265.3
2020-02-24T11:30	88.58903	54.59720	0.580	264.4
2020-02-24T11:40	88.58886	54.53226	0.579	263.8
2020-02-24T11:50	88.58869	54.46803	0.573	264.0
2020-02-24T12:00	88.58853	54.40375	0.573	264.4
2020-02-24T12:10	88.58838	54.33995	0.569	264.3
2020-02-24T12:20	88.58821	54.27738	0.558	263.9
2020-02-24T12:30	88.58805	54.21476	0.558	264.1
2020-02-24T12:40	88.58791	54.15125	0.566	264.9
2020-02-24T12:50	88.58778	54.08788	0.564	265.2
2020-02-24T13:00	88.58765	54.02453	0.564	265.3
2020-02-24T13:10	88.58751	53.96101	0.566	264.8
2020-02-24T13:20	88.58737	53.89814	0.560	264.9
2020-02-24T13:30	88.58723	53.83546	0.559	264.8
2020-02-24T13:40	88.58709	53.77349	0.552	264.7
2020-02-24T13:50	88.58695	53.71327	0.537	264.6
2020-02-24T14:00	88.58682	53.65198	0.546	265.1
2020-02-24T14:10	88.58668	53.59063	0.547	264.9
2020-02-24T14:20	88.58655	53.52950	0.545	265.2
2020-02-24T14:30	88.58641	53.46854	0.544	264.8
2020-02-24T14:40	88.58629	53.40781	0.541	265.3
2020-02-24T14:50	88.58616	53.34743	0.538	265.2
2020-02-24T15:00	88.58604	53.28691	0.540	265.2
2020-02-24T15:10	88.58590	53.22642	0.540	264.9
2020-02-24T15:20	88.58577	53.16595	0.539	265.1
2020-02-24T15:30	88.58565	53.10553	0.539	265.3
2020-02-24T15:40	88.58551	53.04504	0.540	264.8
2020-02-24T15:50	88.58538	52.98434	0.542	265.0
2020-02-24T16:00	88.58525	52.92412	0.537	265.0
2020-02-24T16:10	88.58513	52.86326	0.543	265.5
2020-02-24T16:20	88.58501	52.80241	0.543	265.3
2020-02-24T16:30	88.58488	52.74159	0.543	265.3
2020-02-24T16:40	88.58475	52.67927	0.556	265.3
2020-02-24T16:50	88.58463	52.61830	0.544	265.1
2020-02-24T17:00	88.58450	52.55732	0.544	265.1
2020-02-24T17:10	88.58436	52.49773	0.532	265.0
2020-02-24T17:20	88.58423	52.43645	0.547	265.0
2020-02-24T17:30	88.58410	52.37526	0.547	264.8
2020-02-24T17:40	88.58395	52.31406	0.547	264.6
2020-02-24T17:50	88.58381	52.25228	0.552	264.7
2020-02-24T18:00	88.58367	52.19002	0.556	264.8
2020-02-24T18:10	88.58353	52.12853	0.550	264.7
2020-02-24T18:20	88.58337	52.06659	0.554	264.1
2020-02-24T18:30	88.58323	52.00479	0.552	264.8
2020-02-24T18:40	88.58309	51.94275	0.555	264.7
2020-02-24T18:50	88.58294	51.88059	0.556	264.6
2020-02-24T19:00	88.58280	51.81873	0.553	264.6
2020-02-24T19:10	88.58265	51.75680	0.554	264.6
2020-02-24T19:20	88.58250	51.69482	0.555	264.6
2020-02-24T19:30	88.58236	51.63282	0.555	264.6
2020-02-24T19:40	88.58222	51.57076	0.555	265.0
2020-02-24T19:50	88.58209	51.50852	0.557	264.9
