/* DATA DESCRIPTION:
Citation:	Rex, Markus (2021): Master tracks in different resolutions of POLARSTERN cruise PS122/4, Longyearbyen - Arctic Ocean, 2020-06-04 - 2020-08-12. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.926829
Abstract:	Raw data acquired by position sensors on board RV Polarstern during expedition PS122_4 was processed to receive a validated master track which can be used as reference of further expedition data. During PS122_4 two Trimble Marine SPS461 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processing and evaluation of the data is outlined in the data processing report found at EPIC repository hdl:10013/epic.77923ed6-d30f-4216-b11c-3563af390ac3. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.
Other version:	Rex, Markus (2021): Master track of POLARSTERN cruise PS122/4 in 1 sec resolution (zipped, 36 MB). Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.926830
Further details:	Generalized master track of POLARSTERN cruise PS122/4 (URI: https://hs.pangaea.de/nav/mastertrack/ps/PS122_4_mastertrack_generalized.zip)
	Station list of POLARSTERN cruise PS122/4 (URI: https://www.pangaea.de/expeditions/events/PS122%2F4)
	Trackline map and processing report for navigation sensors from POLARSTERN cruise PS122/4 (URI: hdl:10013/epic.77923ed6-d30f-4216-b11c-3563af390ac3)
Project(s):	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://www.mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
Coverage:	MEDIAN LATITUDE: 80.737864 * MEDIAN LONGITUDE: 3.817784 * SOUTH-BOUND LATITUDE: 78.112093 * WEST-BOUND LONGITUDE: -7.364310 * NORTH-BOUND LATITUDE: 82.230469 * EAST-BOUND LONGITUDE: 15.631829
	DATE/TIME START: 2020-06-04T06:50:00 * DATE/TIME END: 2020-08-12T09:59:59
Event(s):	PS122/4-track * LATITUDE START: 78.234388 * LONGITUDE START: 15.622460 * LATITUDE END: 80.062920 * LONGITUDE END: -6.126250 * DATE/TIME START: 2020-06-04T06:50:00 * DATE/TIME END: 2020-08-12T10:00:00 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/4 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Underway cruise track measurements (CT) * COMMENT: Longyearbyen - Arctic Ocean
Comment:	This dataset contains the master track in 10 min resolution, for other resolutions please see "Further details" and Other version" references.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Speed [kn] (Speed) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
	Course [deg] (Course) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	19912 data points
*/
Date/Time	Latitude	Longitude	Speed [kn]	Course [deg]
2020-06-04T06:50	78.23439	15.62246	0.044	332.4
2020-06-04T07:00	78.23395	15.62482	0.234	132.4
2020-06-04T07:10	78.23381	15.62645	0.130	112.6
2020-06-04T07:20	78.23416	15.62514	0.158	322.5
2020-06-04T07:30	78.23437	15.62311	0.167	297.0
2020-06-04T07:40	78.23444	15.62231	0.063	292.2
2020-06-04T07:50	78.23448	15.62272	0.034	61.2
2020-06-04T08:00	78.23453	15.62285	0.021	27.9
2020-06-04T08:10	78.23457	15.62312	0.023	58.1
2020-06-04T08:20	78.23458	15.62325	0.010	68.3
2020-06-04T08:30	78.23459	15.62308	0.012	282.6
2020-06-04T08:40	78.23455	15.62304	0.015	192.3
2020-06-04T08:50	78.23453	15.62297	0.007	230.6
2020-06-04T09:00	78.23448	15.62313	0.023	149.7
2020-06-04T09:10	78.23445	15.62324	0.013	143.3
2020-06-04T09:20	78.23441	15.62341	0.019	137.3
2020-06-04T09:30	78.23427	15.62383	0.060	149.0
2020-06-04T09:40	78.23418	15.62400	0.034	157.5
2020-06-04T09:50	78.23415	15.62415	0.017	140.0
2020-06-04T10:00	78.23410	15.62440	0.024	132.2
2020-06-04T10:10	78.23405	15.62446	0.019	165.5
2020-06-04T10:20	78.23394	15.62462	0.042	164.4
2020-06-04T10:30	78.23385	15.62499	0.041	138.1
2020-06-04T10:40	78.23382	15.62566	0.051	104.0
2020-06-04T10:50	78.23381	15.62620	0.040	93.0
2020-06-04T11:00	78.23382	15.62650	0.023	78.9
2020-06-04T11:10	78.23385	15.62698	0.036	73.1
2020-06-04T11:20	78.23389	15.62724	0.023	57.8
2020-06-04T11:30	78.23382	15.62763	0.038	130.8
2020-06-04T11:40	78.23373	15.62797	0.042	143.1
2020-06-04T11:50	78.23373	15.62807	0.008	67.6
2020-06-04T12:00	78.23377	15.62812	0.013	14.0
2020-06-04T12:10	78.23381	15.62830	0.020	42.8
2020-06-04T12:20	78.23384	15.62835	0.011	17.0
2020-06-04T12:30	78.23380	15.62831	0.016	188.2
2020-06-04T12:40	78.23383	15.62833	0.011	5.0
2020-06-04T12:50	78.23384	15.62838	0.006	38.3
2020-06-04T13:00	78.23381	15.62836	0.011	188.4
2020-06-04T13:10	78.23376	15.62798	0.033	236.8
2020-06-04T13:20	78.23376	15.62829	0.023	91.5
2020-06-04T13:30	78.23373	15.62848	0.017	124.8
2020-06-04T13:40	78.23352	15.62919	0.094	146.2
2020-06-04T13:50	78.23327	15.63018	0.116	141.2
2020-06-04T14:00	78.23327	15.63020	0.002	59.9
2020-06-04T14:10	78.23328	15.63040	0.016	67.6
2020-06-04T14:20	78.23333	15.63039	0.016	356.2
2020-06-04T14:30	78.23333	15.63041	0.002	88.7
2020-06-04T14:40	78.23335	15.63052	0.012	42.3
2020-06-04T14:50	78.23334	15.63037	0.012	249.4
2020-06-04T15:00	78.23335	15.63025	0.009	286.6
2020-06-04T15:10	78.23336	15.63045	0.016	72.6
2020-06-04T15:20	78.23339	15.63048	0.009	14.5
2020-06-04T15:30	78.23338	15.63029	0.014	257.5
2020-06-04T15:40	78.23337	15.63017	0.010	247.9
2020-06-04T15:50	78.23335	15.63014	0.008	195.5
2020-06-04T16:00	78.23331	15.62997	0.017	227.3
2020-06-04T16:10	78.23330	15.62994	0.007	198.5
2020-06-04T16:20	78.23328	15.62972	0.017	253.2
2020-06-04T16:30	78.23331	15.62935	0.030	291.6
2020-06-04T16:40	78.23345	15.62977	0.059	31.8
2020-06-04T16:50	78.23358	15.63041	0.065	46.2
