/* DATA DESCRIPTION:
Citation:	Rex, Markus (2021): Master tracks in different resolutions of POLARSTERN cruise PS122/5, Arctic Ocean - Bremerhaven, 2020-08-12 - 2020-10-12. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.926910
Abstract:	Raw data acquired by position sensors on board RV Polarstern during expedition PS122_5 was processed to receive a validated master track which can be used as reference of further expedition data. During PS122_5 two Trimble Marine SPS461 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processing and evaluation of the data is outlined in the data processing report found at EPIC repository hdl:10013/epic.c87f9f33-baed-46f7-9fac-5f31409719bc. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.
Other version:	Rex, Markus (2021): Master track of POLARSTERN cruise PS122/5 in 1 sec resolution (zipped, 34 MB). Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.926911
Further details:	Generalized master track of POLARSTERN cruise PS122/5 (URI: https://hs.pangaea.de/nav/mastertrack/ps/PS122_5_mastertrack_generalized.zip)
	Station list of POLARSTERN cruise PS122/5 (URI: https://www.pangaea.de/expeditions/events/PS122%2F5)
	Trackline map and processing report for navigation sensors from POLARSTERN cruise PS122/5 (URI: hdl:10013/epic.c87f9f33-baed-46f7-9fac-5f31409719bc)
Project(s):	Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) (URI: https://www.mosaic-expedition.org/)
Funding:	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AFMOSAiC-1_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate
	Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven (AWI) (URI: http://www.awi.de), grant/award no. AWI_PS122_00: Multidisciplinary drifting Observatory for the Study of Arctic Climate / MOSAiC
Coverage:	MEDIAN LATITUDE: 84.192018 * MEDIAN LONGITUDE: 65.434340 * SOUTH-BOUND LATITUDE: 53.558496 * WEST-BOUND LONGITUDE: -176.208611 * NORTH-BOUND LATITUDE: 89.999797 * EAST-BOUND LONGITUDE: 147.669059
	DATE/TIME START: 2020-08-12T10:20:00 * DATE/TIME END: 2020-10-12T05:59:59
Event(s):	PS122/5-track * LATITUDE START: 80.062920 * LONGITUDE START: -6.126260 * LATITUDE END: 53.558500 * LONGITUDE END: 8.550040 * DATE/TIME START: 2020-08-12T10:00:00 * DATE/TIME END: 2020-10-12T06:00:00 * LOCATION: Arctic Ocean * CAMPAIGN: PS122/5 (MOSAiC20192020) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Underway cruise track measurements (CT) * COMMENT: Arctic Ocean - Bremerhaven
Comment:	This dataset contains the master track in 10 min resolution, for other resolutions please see "Further details" and Other version" references.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Speed [kn] (Speed) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
	Course [deg] (Course) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	17514 data points
*/
Date/Time	Latitude	Longitude	Speed [kn]	Course [deg]
2020-08-12T10:20	80.06511	-6.13451	0.465	327.5
2020-08-12T10:30	80.06639	-6.13772	0.501	336.5
2020-08-12T10:40	80.06798	-6.14122	0.612	339.2
2020-08-12T10:50	80.06960	-6.14414	0.612	342.7
2020-08-12T11:00	80.07119	-6.14593	0.584	349.0
2020-08-12T11:10	80.07238	-6.14713	0.435	350.2
2020-08-12T11:20	80.07344	-6.15037	0.431	332.2
2020-08-12T11:30	80.07455	-6.15391	0.457	331.3
2020-08-12T11:40	80.07580	-6.15705	0.489	336.5
2020-08-12T11:50	80.07732	-6.16005	0.578	341.2
2020-08-12T12:00	80.07895	-6.16269	0.609	344.4
2020-08-12T12:10	80.08031	-6.16559	0.523	339.9
2020-08-12T12:20	80.08168	-6.16799	0.515	343.2
2020-08-12T12:30	80.08317	-6.16973	0.547	348.6
2020-08-12T12:40	80.08483	-6.17111	0.604	351.9
2020-08-12T12:50	80.08628	-6.17129	0.521	358.8
2020-08-12T13:00	80.08755	-6.17209	0.463	353.8
2020-08-12T13:10	80.08858	-6.17335	0.377	348.1
2020-08-12T13:20	80.08964	-6.17516	0.400	343.7
2020-08-12T13:30	80.09081	-6.17677	0.432	346.6
2020-08-12T13:40	80.09198	-6.17778	0.427	351.6
2020-08-12T13:50	80.09315	-6.17857	0.423	353.3
2020-08-12T14:00	80.09435	-6.17969	0.438	350.9
2020-08-12T14:10	80.09547	-6.18148	0.420	344.6
2020-08-12T14:20	80.09663	-6.18459	0.458	335.2
2020-08-12T14:30	80.09773	-6.18830	0.457	329.8
2020-08-12T14:40	80.09912	-6.19203	0.552	335.2
2020-08-12T14:50	80.10061	-6.19485	0.566	342.1
2020-08-12T15:00	80.10200	-6.19748	0.525	341.9
2020-08-12T15:10	80.10339	-6.20036	0.531	340.4
2020-08-12T15:20	80.10478	-6.20307	0.528	341.4
2020-08-12T15:30	80.10628	-6.20559	0.564	344.0
2020-08-12T15:40	80.10775	-6.20820	0.552	342.9
2020-08-12T15:50	80.10916	-6.21117	0.539	340.1
2020-08-12T16:00	80.11066	-6.21465	0.584	338.3
2020-08-12T16:10	80.11233	-6.21755	0.628	343.4
2020-08-12T16:20	80.11414	-6.21946	0.662	349.7
2020-08-12T16:30	80.11590	-6.22080	0.636	352.6
2020-08-12T16:40	80.11758	-6.22278	0.619	348.6
2020-08-12T16:50	80.11920	-6.22514	0.601	346.0
2020-08-12T17:00	80.12083	-6.22717	0.599	347.9
2020-08-12T17:10	80.12253	-6.22876	0.621	350.8
2020-08-12T17:20	80.12419	-6.22963	0.600	354.9
2020-08-12T17:30	80.12591	-6.23014	0.621	357.1
2020-08-12T17:40	80.12771	-6.23090	0.649	355.8
2020-08-12T17:50	80.12969	-6.23175	0.715	355.8
2020-08-12T18:00	80.13170	-6.23225	0.724	357.6
2020-08-12T18:10	80.13388	-6.23218	0.784	0.3
2020-08-12T18:20	80.13610	-6.23133	0.802	3.7
2020-08-12T18:30	80.13831	-6.23087	0.797	2.0
2020-08-12T18:40	80.14069	-6.23068	0.855	0.8
2020-08-12T18:50	80.14312	-6.23058	0.876	0.4
2020-08-12T19:00	80.14558	-6.22959	0.889	3.9
2020-08-12T19:10	80.14788	-6.22907	0.829	2.2
2020-08-12T19:20	80.15006	-6.22909	0.783	359.9
2020-08-12T19:30	80.15230	-6.22899	0.808	0.4
2020-08-12T19:40	80.15468	-6.22800	0.858	4.1
2020-08-12T19:50	80.15698	-6.22710	0.829	3.8
2020-08-12T20:00	80.15919	-6.22681	0.797	1.3
