profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
ps122_1_2_68	sn204_mosaic_primary	ps122_1_2_68	andreas rogge(andreas.rogge@awi.de)	HDR20191004082819	uvp5	xx	2019-10-04 08:28:19	85.1281	132.55192	0.0049	1.075	0.094	export_detailed_20211011_08_50_PAR_ps122_1_2_68.tsv	export_detailed_20211011_08_50_ZOO_Aggregated.tsv	uvp5_sn204_mosaic_primary_filtered
ps122_1_6_79	sn204_mosaic_primary	ps122_1_6_79	andreas rogge(andreas.rogge@awi.de)	HDR20191109011953	uvp5	xx	2019-11-09 01:19:53	85.8628	115.77105	0.0049	1.075	0.094	export_detailed_20211011_08_50_PAR_ps122_1_6_79.tsv	export_detailed_20211011_08_50_ZOO_Aggregated.tsv	uvp5_sn204_mosaic_primary_filtered
ps122_1_6_81	sn204_mosaic_primary	ps122_1_6_81	andreas rogge(andreas.rogge@awi.de)	HDR20191109064033	uvp5	xx	2019-11-09 06:40:33	85.84892	115.78578	0.0049	1.075	0.094	export_detailed_20211011_08_50_PAR_ps122_1_6_81.tsv	export_detailed_20211011_08_50_ZOO_Aggregated.tsv	uvp5_sn204_mosaic_primary_filtered
ps122_1_7_47	sn204_mosaic_primary	ps122_1_7_47	andreas rogge(andreas.rogge@awi.de)	HDR20191114013744	uvp5	xx	2019-11-14 01:37:44	86.15207	118.10357	0.0049	1.075	0.094	export_detailed_20211011_08_50_PAR_ps122_1_7_47.tsv	export_detailed_20211011_08_50_ZOO_Aggregated.tsv	uvp5_sn204_mosaic_primary_filtered
ps122_1_7_49	sn204_mosaic_primary	ps122_1_7_49	andreas rogge(andreas.rogge@awi.de)	HDR20191114032714	uvp5	xx	2019-11-14 03:27:14	86.15775	118.14613	0.0049	1.075	0.094	export_detailed_20211011_08_50_PAR_ps122_1_7_49.tsv	export_detailed_20211011_08_50_ZOO_Aggregated.tsv	uvp5_sn204_mosaic_primary_filtered
ps122_1_8_46	sn204_mosaic_primary	ps122_1_8_46	andreas rogge(andreas.rogge@awi.de)	HDR20191121051342	uvp5	xx	2019-11-21 05:13:42	85.74457	120.95568	0.0049	1.075	0.094	export_detailed_20211011_08_50_PAR_ps122_1_8_46.tsv	export_detailed_20211011_08_50_ZOO_Aggregated.tsv	uvp5_sn204_mosaic_primary_filtered
ps122_1_8_98	sn204_mosaic_primary	ps122_1_8_98	andreas rogge(andreas.rogge@awi.de)	HDR20191123085340	uvp5	xx	2019-11-23 08:53:40	85.737	120.4015	0.0049	1.075	0.094	export_detailed_20211011_08_50_PAR_ps122_1_8_98.tsv	export_detailed_20211011_08_50_ZOO_Aggregated.tsv	uvp5_sn204_mosaic_primary_filtered
ps122_1_9_50	sn204_mosaic_primary	ps122_1_9_50	andreas rogge(andreas.rogge@awi.de)	HDR20191128082318	uvp5	xx	2019-11-28 08:23:18	86.16242	116.85857	0.0049	1.075	0.094	export_detailed_20211011_08_50_PAR_ps122_1_9_50.tsv	export_detailed_20211011_08_50_ZOO_Aggregated.tsv	uvp5_sn204_mosaic_primary_filtered
ps122_2_16_21	sn204_mosaic_primary	ps122_2_16_21	andreas rogge(andreas.rogge@awi.de)	HDR20191219103555	uvp5	ps122_2_20191219_162100	2019-12-19 10:35:55	86.67872	112.9807	0.0049	1.075	0.094	export_detailed_20211011_08_50_PAR_ps122_2_16_21.tsv	export_detailed_20211011_08_50_ZOO_Aggregated.tsv	uvp5_sn204_mosaic_primary_filtered
ps122_2_16_34	sn204_mosaic_primary	ps122_2_16_34	andreas rogge(andreas.rogge@awi.de)	HDR20191220082229	uvp5	ps122_2_20191219_163400	2019-12-20 08:22:29	86.67935	112.62425	0.0049	1.075	0.094	export_detailed_20211011_08_50_PAR_ps122_2_16_34.tsv	export_detailed_20211011_08_50_ZOO_Aggregated.tsv	uvp5_sn204_mosaic_primary_filtered
